District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Kandy,5,9/20/2008,9,2008,39,9/26/2008
Kegalle,5,9/20/2008,9,2008,39,9/26/2008
Kilinochchi,0,9/20/2008,9,2008,39,9/26/2008
Kurunegala,3,9/20/2008,9,2008,39,9/26/2008
Mannar,0,9/20/2008,9,2008,39,9/26/2008
Matale,3,9/20/2008,9,2008,39,9/26/2008
Matara,1,9/20/2008,9,2008,39,9/26/2008
Monaragala,0,9/20/2008,9,2008,39,9/26/2008
Mullaitivu,0,9/20/2008,9,2008,39,9/26/2008
Nuwara Eliya,0,9/20/2008,9,2008,39,9/26/2008
Polonnaruwa,0,9/20/2008,9,2008,39,9/26/2008
Puttalam,1,9/20/2008,9,2008,39,9/26/2008
Ratnapura,1,9/20/2008,9,2008,39,9/26/2008
Trincomalee,0,9/20/2008,9,2008,39,9/26/2008
Vavuniya,0,9/20/2008,9,2008,39,9/26/2008
Ampara,0,9/27/2008,9,2008,40,10/3/2008
Anuradhapura,1,9/27/2008,9,2008,40,10/3/2008
Badulla,0,9/27/2008,9,2008,40,10/3/2008
Batticaloa,0,9/27/2008,9,2008,40,10/3/2008
Colombo,23,9/27/2008,9,2008,40,10/3/2008
Galle,1,9/27/2008,9,2008,40,10/3/2008
Gampaha,7,9/27/2008,9,2008,40,10/3/2008
Hambantota,0,9/27/2008,9,2008,40,10/3/2008
Jaffna,1,9/27/2008,9,2008,40,10/3/2008
Kalmunai,0,9/27/2008,9,2008,40,10/3/2008
Kalutara,6,9/27/2008,9,2008,40,10/3/2008
Kandy,5,9/27/2008,9,2008,40,10/3/2008
Kegalle,12,9/27/2008,9,2008,40,10/3/2008
Kilinochchi,0,9/27/2008,9,2008,40,10/3/2008
Kurunegala,3,9/27/2008,9,2008,40,10/3/2008
Mannar,0,9/27/2008,9,2008,40,10/3/2008
Matale,5,9/27/2008,9,2008,40,10/3/2008
Matara,7,9/27/2008,9,2008,40,10/3/2008
Monaragala,0,9/27/2008,9,2008,40,10/3/2008
Mullaitivu,0,9/27/2008,9,2008,40,10/3/2008
Nuwara Eliya,0,9/27/2008,9,2008,40,10/3/2008
Polonnaruwa,0,9/27/2008,9,2008,40,10/3/2008
Puttalam,0,9/27/2008,9,2008,40,10/3/2008
Ratnapura,3,9/27/2008,9,2008,40,10/3/2008
Trincomalee,0,9/27/2008,9,2008,40,10/3/2008
Vavuniya,1,9/27/2008,9,2008,40,10/3/2008
Ampara,0,10/4/2008,10,2008,41,10/10/2008
