District,split,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total,ljung_box_stat_lag26,ljung_box_pvalue_lag26,ljung_box_stat_lag52,ljung_box_pvalue_lag52
Batticaloa,validation_aggregate,aggregate,38.86740828274496,28.33072174626323,103.46605536016327,1.9232451385776816,724,728,4701.863152128162,0.0,4972.899400443717,0.0
Batticaloa,holdout,holdout,27.69574078291801,19.946154938890007,67.38698855806852,0.5881780294208675,104,104,,,,
Colombo,validation,1,105.79720610451658,72.05436659458081,82.90423269984856,2.040755480892267,52,52,,,,
Colombo,validation,2,156.62776638297615,121.87502732889376,132.85449262776294,2.9879780391807995,52,52,,,,
Colombo,validation,3,169.36417431125173,155.02177205438198,92.62329940438921,3.022546736718359,52,52,,,,
Colombo,validation,4,77.27827294547124,59.04231926779228,46.77162114139212,0.9682121103516866,52,52,,,,
Colombo,validation,5,122.24485637774825,100.0405524699698,45.7096446822736,1.5752827480887543,52,52,,,,
Colombo,validation,6,183.68957617232738,168.70819311669229,76.04644370528015,2.439025430712368,51,52,,,,
Colombo,validation,7,163.2386368013099,123.57642908558884,59.95043359598344,1.6784231081826009,52,52,,,,
Colombo,validation,8,637.9338374075406,425.9229280760011,72.92879926433909,5.553754672433167,52,52,,,,
Colombo,validation,9,162.26184592765745,141.26463907901754,62.08333713289436,1.2287181892556518,52,52,,,,
Colombo,validation,10,235.50627448229415,175.77814097346334,47.05856184113475,1.2051618455666444,52,52,,,,
Colombo,validation,11,630.4488106673472,620.0626633957917,161.2601937044433,4.137609310205469,51,52,,,,
Colombo,validation,12,83.58513783354049,53.93862502618071,84.67145312938761,0.32928488169210746,51,52,,,,
Colombo,validation,13,29.07940204554012,26.512778965054608,72.48172145492224,0.1654731374780691,51,52,,,,
Colombo,validation,14,255.70957780994613,225.74445389947329,155.7408443922172,1.4719939168793208,52,52,,,,
Colombo,validation_aggregate,aggregate,162.75024136448366,132.4205340823032,74.48762148480962,1.6268529281356776,724,728,4806.199276954317,0.0,5011.555377431084,0.0
Colombo,holdout,holdout,153.24006942130868,102.94733356820696,41.79332459530842,0.6532630106007116,104,104,,,,
Galle,validation,1,18.41584755076961,13.596532499309193,94.15099858573419,2.188915448805195,52,52,,,,
Galle,validation,2,14.98659765909094,10.959622399550929,144.98645951696682,1.3430487779496818,52,52,,,,
Galle,validation,3,10.793874404937824,8.93682335081519,78.82584895103443,1.0102495961791085,52,52,,,,
Galle,validation,4,7.912665444229191,6.12634446839471,48.52656676690966,0.6154751011524825,52,52,,,,
Galle,validation,5,11.810218096667228,9.843066147652856,72.26418831606047,0.9663425544580525,52,52,,,,
Galle,validation,6,12.684371141398259,10.805228408912365,84.36587065724373,1.0673278536890367,51,52,,,,
Galle,validation,7,24.19461877969662,15.904770344033649,55.54528402598431,1.5117910427791947,52,52,,,,
Galle,validation,8,113.2091774949231,86.68988525013629,115.36325203836284,7.522809409043484,52,52,,,,
Galle,validation,9,48.79279417715499,47.708062723415125,128.35884985310219,2.557199554090339,52,52,,,,
Galle,validation,10,122.7502903178528,95.69658744428222,110.10446729520022,3.7582372084360522,52,52,,,,
Galle,validation,11,138.8821963420194,134.81141307020698,159.9249906553313,4.217730442617008,51,52,,,,
Galle,validation,12,17.02669443078304,10.140337022533677,134.0217974466334,0.2606342352644808,51,52,,,,
Galle,validation,13,24.47906740889387,19.610890755360337,58.66454049849356,0.5117731101290569,51,52,,,,
Galle,validation,14,46.039548276527945,37.14863257640219,69.68981992044172,0.9867326294261183,52,52,,,,
Galle,validation_aggregate,aggregate,21.305233165233112,14.75065142167142,89.25843462148896,1.2051883158193593,724,728,5491.1186475993145,0.0,7217.821119219853,0.0
Galle,holdout,holdout,90.05394721619146,44.653942674155594,76.87008423580686,1.1721280734059742,104,104,,,,
Gampaha,validation,1,44.534362804113,34.339769936105284,73.89287075620172,1.1212986101585398,52,52,,,,
Gampaha,validation,2,59.38063274699558,45.2841821578113,115.45375788995622,1.2108900268458285,52,52,,,,
Gampaha,validation,3,51.95636531069764,38.450595340987995,73.62782608484869,0.9815566802804987,52,52,,,,
Gampaha,validation,4,31.043646335057876,27.00525361952532,47.48758535197135,0.6317018390532239,52,52,,,,
Gampaha,validation,5,78.29989362133169,58.95910859960774,85.4131432762215,1.3633174151839929,52,52,,,,
Gampaha,validation,6,46.14824125479136,42.540209439196424,72.22785753169316,0.9881077299385806,51,52,,,,
Gampaha,validation,7,125.30864676330349,39.97783180473659,84.97827917747144,0.9031956121163747,52,52,,,,
Gampaha,validation,8,804.8690710198139,534.6908564843587,165.77874413684282,12.13785751762038,52,52,,,,
Gampaha,validation,9,67.10079153017499,59.41525776194981,52.36206530096046,0.6436031685631536,52,52,,,,
Gampaha,validation,10,190.21215793874347,148.59128639083707,63.628121367926795,1.1764947457706816,52,52,,,,
Gampaha,validation,11,302.08247446574245,296.9323246154687,158.54482148857366,2.3030351756446357,51,52,,,,
Gampaha,validation,12,43.714443665778894,25.46842460203975,68.32680809745423,0.18650573172697824,51,52,,,,
Gampaha,validation,13,48.15743027699611,39.22079058304487,109.16392229210442,0.29865118739050894,51,52,,,,
Gampaha,validation,14,190.3411983237411,165.08026185200592,187.48348552260956,1.3194131459608187,52,52,,,,
Gampaha,validation_aggregate,aggregate,63.24071213858528,43.91219579850386,79.43557496683658,1.0547031700485603,724,728,3993.8358241445558,0.0,4044.417379179091,0.0
Gampaha,holdout,holdout,159.76828767118505,91.67255697831489,59.48864611748609,0.735804281695634,104,104,,,,
Hambantota,validation,1,11.129071087187087,9.040513203475774,80.23395580569701,1.0197542008259008,52,52,,,,
Hambantota,validation,2,7.973298501550542,5.1254716536983125,109.90243804762048,0.48843834940558145,52,52,,,,
Hambantota,validation,3,6.1524814536251275,5.137859416833056,94.47544612316128,0.48686777161789324,52,52,,,,
Hambantota,validation,4,2.685469733229968,2.17777780256749,44.51219271655484,0.21727637324157614,52,52,,,,
Hambantota,validation,5,11.283736314677926,6.278014447068464,64.97854115894852,0.682250263840251,52,52,,,,
Hambantota,validation,6,7.4297215275034665,6.578984155148687,88.05590657921867,0.7437112523211559,51,52,,,,
Hambantota,validation,7,12.534236608421601,9.059446054651033,77.62253700067991,1.0525392252744061,52,52,,,,
Hambantota,validation,8,53.98118547108298,43.49490267683801,89.38554880493274,5.014503871203987,52,52,,,,
