horizon,District,vs_recursive_dm_stat,vs_recursive_p_value,vs_recursive_mean_loss_diff,vs_recursive_n_obs,vs_sarima_dm_stat,vs_sarima_p_value,vs_sarima_mean_loss_diff,vs_sarima_n_obs
4,Anuradhapura,-0.4831802421621949,0.6289677628883323,-18.24734298823876,773,0.08141856133521608,0.9351090883040141,2.8205753800332847,773
4,Badulla,1.2254393177541598,0.22040974056058116,260.20695332159534,773,1.06432501872781,0.2871814880140695,106.95912305131256,773
4,Batticaloa,0.5866975247914028,0.5574068704504027,135.5338881142571,773,1.9066033885253637,0.056571965975214855,354.29437612716447,773
4,Colombo,-1.6688315074079487,0.09515077662694216,-4915.079362246291,773,0.31708230773785323,0.7511811491320803,749.0302418517801,773
4,Galle,1.1118592049606484,0.2661986912973773,89.14816331623976,773,1.1333894910873439,0.2570507252751515,103.31685001816712,773
4,Gampaha,-0.5545745285831486,0.5791857153590421,-1237.810844592638,773,-0.39360042882512797,0.6938760645736406,-796.6712563760412,773
4,Hambantota,-0.6451668664495803,0.5188190555029031,-23.950587019535437,773,-0.286613449825495,0.7744083148514922,-11.426431103354576,773
4,Jaffna,-1.250731079938072,0.2110326071836197,-729.0647344397167,773,1.3331471277842932,0.1824835262062039,239.5201435514875,773
4,Kalutara,-0.8542445126798306,0.3929695243720126,-886.4459917820008,773,-0.583810729909425,0.5593476584414854,-323.66048327023236,773
4,Kandy,-1.1293103577845955,0.25876693301754705,-1651.8112488516892,773,5319227013.307021,0.0,194.4639701105066,773
4,Kegalle,0.282836179882376,0.7773024186732187,98.89795558519951,773,0.003975721125458395,0.9968278418526526,2.0704059410229356,773
4,Kilinochchi,0.9696961991176595,0.33219794560076377,8.707517643464556,773,2.027240601719361,0.042637812753922866,5.888006531543459,773
4,Kurunegala,-0.5669459941472443,0.5707508740975777,-262.1724183411065,773,-0.295329151717561,0.7677424492667881,-162.5474585486106,773
4,Mannar,-0.023095243381788873,0.981574299907094,-0.1772095570002854,722,2.1141093786092164,0.03450592634677796,17.31714145156583,722
4,Matale,-1.1229010654804368,0.26147951496444444,-44.466995462431036,773,1.5637534049097943,0.11787549064425851,79.02010847929162,773
4,Matara,-0.24652635226383451,0.8052748076297405,-31.784602538706956,773,0.7801805715672214,0.4352845964157388,129.3891577100403,773
4,Monaragala,-0.947998057291609,0.34313044320209984,-46.39879451500049,773,-1.2499667877507394,0.21131167995945388,-43.35836666123048,773
4,Mullaitivu,0.5209737467550714,0.6023850600912009,0.9712795961399463,773,1.3510723568244416,0.1766722554934561,1.2740601291177374,773
