District,model,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total,residual_variance_reduction,ljung_box_stat_lag26,ljung_box_pvalue_lag26,ljung_box_stat_lag52,ljung_box_pvalue_lag52
Batticaloa,stage1_only,10,42.589380973069765,33.55538100328352,70.27348233987605,1.352848151921885,52,52,,,,,
Batticaloa,stage1_plus_stage2,10,16.848106094240695,11.19048814419686,27.597594958817773,0.45116552851833436,52,52,,,,,
Batticaloa,stage1_only,11,135.3098919896137,124.51896578490856,119.58132582666086,4.281178305135875,51,52,,,,,
Batticaloa,stage1_plus_stage2,11,42.27727635372635,24.945832222843926,45.370078460188324,0.8576810371239246,51,52,,,,,
Batticaloa,stage1_only,12,151.65802173474233,143.3559032626945,136.1083755202846,4.710175408670283,51,52,,,,,
Batticaloa,stage1_plus_stage2,12,42.49218442366965,23.136925517966393,59.635382553234194,0.760198744011687,51,52,,,,,
Batticaloa,stage1_only,13,15.63020773022647,12.755410522098444,59.18395486521485,0.405334116010776,51,52,,,,,
Batticaloa,stage1_plus_stage2,13,9.850838882310088,6.781071885945964,39.77399723523558,0.2154850111435888,51,52,,,,,
Batticaloa,stage1_only,14,51.08959852087634,39.44917021216923,105.73448247276151,1.1784290518223448,52,52,,,,,
Batticaloa,stage1_plus_stage2,14,19.013150398600615,13.326267908317032,31.688314427010745,0.3980834367634991,52,52,,,,,
Batticaloa,stage1_only,holdout,27.69574078291801,19.946154938890007,67.38698855806852,0.5881780294208675,104,104,,,,,
Batticaloa,stage1_plus_stage2,holdout,11.682418643040334,8.417865231060064,29.067426419383622,0.24822846301478071,104,104,,,,,
Batticaloa,stage1_only,validation_aggregate,38.86740828274496,28.330721746263237,103.46605536016327,1.9232451385776819,724,728,,,,,
Batticaloa,stage1_plus_stage2,validation_aggregate,21.16336255337959,13.656589079623696,52.29096137103632,0.6873989958632617,724,728,0.7943147334382559,1816.5442877310827,0.0,1894.511537923266,0.0
Colombo,stage1_only,1,105.79720610451658,72.05436659458081,82.90423269984856,2.040755480892267,52,52,,,,,
Colombo,stage1_plus_stage2,1,105.79720610451658,72.05436659458081,82.90423269984856,2.040755480892267,52,52,,,,,
Colombo,stage1_only,2,156.62776638297615,121.87502732889376,132.85449262776294,2.9879780391807995,52,52,,,,,
Colombo,stage1_plus_stage2,2,104.05514407807588,69.56066537603117,53.66018297156827,1.7054005655604056,52,52,,,,,
Colombo,stage1_only,3,169.36417431125176,155.02177205438198,92.62329940438921,3.022546736718359,52,52,,,,,
Colombo,stage1_plus_stage2,3,164.1842050012566,150.97555868542514,91.68864008897806,2.9436554374361106,52,52,,,,,
Colombo,stage1_only,4,77.27827294547124,59.04231926779228,46.77162114139212,0.9682121103516866,52,52,,,,,
Colombo,stage1_plus_stage2,4,62.871301403929486,48.38657193758166,41.983254441430425,0.793472639783742,52,52,,,,,
Colombo,stage1_only,5,122.24485637774823,100.0405524699698,45.7096446822736,1.5752827480887543,52,52,,,,,
Colombo,stage1_plus_stage2,5,80.29675504017659,61.31140663817734,29.293920865131867,0.9654365030337807,52,52,,,,,
Colombo,stage1_only,6,183.68957617232738,168.70819311669229,76.04644370528015,2.439025430712368,51,52,,,,,
Colombo,stage1_plus_stage2,6,68.1543837207085,56.511446461596634,35.30984631158974,0.8169896938605599,51,52,,,,,
Colombo,stage1_only,7,163.23863680130992,123.57642908558884,59.95043359598344,1.6784231081826009,52,52,,,,,
Colombo,stage1_plus_stage2,7,118.41484850741628,69.13532642234053,34.501655335204326,0.9390005061453549,52,52,,,,,
Colombo,stage1_only,8,637.9338374075406,425.9229280760011,72.92879926433909,5.553754672433167,52,52,,,,,
Colombo,stage1_plus_stage2,8,549.5872666940835,342.0682668629864,50.62153212359773,4.460345076897187,52,52,,,,,
Colombo,stage1_only,9,162.26184592765745,141.26463907901754,62.08333713289436,1.2287181892556518,52,52,,,,,
Colombo,stage1_plus_stage2,9,45.46350351888233,37.085956979570526,20.0889801676157,0.32257322288036966,52,52,,,,,
Colombo,stage1_only,10,235.50627448229415,175.77814097346334,47.05856184113476,1.2051618455666444,52,52,,,,,
Colombo,stage1_plus_stage2,10,95.88910498449182,66.88423023834754,17.437592944063134,0.45856852226876244,52,52,,,,,
Colombo,stage1_only,11,630.4488106673472,620.0626633957917,161.2601937044433,4.137609310205469,51,52,,,,,
Colombo,stage1_plus_stage2,11,434.64810037386525,423.0155867404224,151.0476593097192,2.8227360448922654,51,52,,,,,
Colombo,stage1_only,12,83.58513783354049,53.93862502618072,84.6714531293876,0.32928488169210757,51,52,,,,,
Colombo,stage1_plus_stage2,12,58.032041974765434,35.59826800990041,59.673791995786665,0.21732054653588934,51,52,,,,,
Colombo,stage1_only,13,29.07940204554012,26.512778965054608,72.48172145492224,0.1654731374780691,51,52,,,,,
Colombo,stage1_plus_stage2,13,28.767176947508148,20.92226789388098,54.785792214011344,0.1305813063247868,51,52,,,,,
Colombo,stage1_only,14,255.70957780994613,225.74445389947329,155.7408443922172,1.4719939168793208,52,52,,,,,
Colombo,stage1_plus_stage2,14,113.45133106766582,81.67137770421891,36.349477848039655,0.5325480608143708,52,52,,,,,
Colombo,stage1_only,holdout,153.24006942130868,102.94733356820691,41.79332459530842,0.6532630106007112,104,104,,,,,
Colombo,stage1_plus_stage2,holdout,106.2453869347793,46.10024727837876,18.028107304142186,0.29253391304747217,104,104,,,,,
Colombo,stage1_only,validation_aggregate,162.75024136448368,132.4205340823032,74.48762148480962,1.6268529281356776,724,728,,,,,
Colombo,stage1_plus_stage2,validation_aggregate,99.97212453128385,68.00977833034403,46.302393282514075,0.8779951000029573,724,728,0.4609323940919835,4096.7090440300735,0.0,4239.521540704044,0.0
Galle,stage1_only,1,18.41584755076961,13.596532499309193,94.15099858573419,2.188915448805195,52,52,,,,,
Galle,stage1_plus_stage2,1,18.41584755076961,13.596532499309193,94.15099858573419,2.188915448805195,52,52,,,,,
Galle,stage1_only,2,14.98659765909094,10.959622399550929,144.98645951696682,1.3430487779496818,52,52,,,,,
Galle,stage1_plus_stage2,2,9.297078444918426,6.761750454548773,74.21082628309031,0.828619851460808,52,52,,,,,
Galle,stage1_only,3,10.793874404937824,8.93682335081519,78.82584895103443,1.0102495961791085,52,52,,,,,
Galle,stage1_plus_stage2,3,8.4222544474304,6.334218787013389,69.25207894743876,0.7160421237493395,52,52,,,,,
Galle,stage1_only,4,7.912665444229191,6.12634446839471,48.52656676690966,0.6154751011524825,52,52,,,,,
Galle,stage1_plus_stage2,4,7.329643080465578,5.953523277734001,48.43754490910653,0.5981128486131531,52,52,,,,,
Galle,stage1_only,5,11.810218096667228,9.843066147652856,72.26418831606047,0.9663425544580525,52,52,,,,,
Galle,stage1_plus_stage2,5,8.644737515438987,6.703410179974641,67.74420676150241,0.6581069780214248,52,52,,,,,
Galle,stage1_only,6,12.684371141398259,10.805228408912365,84.36587065724373,1.0673278536890367,51,52,,,,,
Galle,stage1_plus_stage2,6,11.262335732276938,7.299131067824501,78.7203331647036,0.7209996495761515,51,52,,,,,
Galle,stage1_only,7,24.19461877969662,15.904770344033649,55.54528402598431,1.5117910427791947,52,52,,,,,
Galle,stage1_plus_stage2,7,22.986445501494348,15.907288673546477,54.44175617448075,1.5120304167480045,52,52,,,,,
Galle,stage1_only,8,113.2091774949231,86.68988525013629,115.36325203836284,7.522809409043484,52,52,,,,,
Galle,stage1_plus_stage2,8,64.68252180779888,41.98256077652543,42.06088150344688,3.6431793895457822,52,52,,,,,
Galle,stage1_only,9,48.79279417715499,47.708062723415125,128.35884985310219,2.557199554090339,52,52,,,,,
Galle,stage1_plus_stage2,9,10.132309436652577,6.38651181682283,40.068102715353184,0.3423233775987403,52,52,,,,,
Galle,stage1_only,10,122.7502903178528,95.69658744428222,110.10446729520022,3.7582372084360522,52,52,,,,,
Galle,stage1_plus_stage2,10,42.02050520296418,30.9551043371809,31.467653790932097,1.2156820636759758,52,52,,,,,
Galle,stage1_only,11,138.8821963420194,134.81141307020698,159.9249906553313,4.217730442617008,51,52,,,,,
Galle,stage1_plus_stage2,11,25.94199407650042,22.732197496877387,106.08954900090286,0.711203000002904,51,52,,,,,
Galle,stage1_only,12,17.02669443078304,10.140337022533677,134.0217974466334,0.2606342352644808,51,52,,,,,
Galle,stage1_plus_stage2,12,15.240764944358808,7.180071819708887,66.64800677048386,0.1845473699459243,51,52,,,,,
Galle,stage1_only,13,24.47906740889387,19.610890755360337,58.66454049849356,0.5117731101290569,51,52,,,,,
Galle,stage1_plus_stage2,13,21.939658611134444,15.020461552163233,42.41428748767758,0.3919795597261872,51,52,,,,,
Galle,stage1_only,14,46.039548276527945,37.14863257640219,69.68981992044172,0.9867326294261183,52,52,,,,,
Galle,stage1_plus_stage2,14,23.52124351572714,16.59407931647835,27.584950710617445,0.4407677586295706,52,52,,,,,
Galle,stage1_only,holdout,90.05394721619146,44.653942674155594,76.87008423580686,1.1721280734059742,104,104,,,,,
Galle,stage1_plus_stage2,holdout,68.00675285161203,21.503515019474477,24.647526509970245,0.5644490076756626,104,104,,,,,
Galle,stage1_only,validation_aggregate,21.305233165233112,14.75065142167142,89.25843462148896,1.2051883158193593,724,728,,,,,
Galle,stage1_plus_stage2,validation_aggregate,16.828306247564207,10.447831783566848,60.5448814724823,0.7136225618761218,724,728,0.7320007476931392,391.35335697399034,7.314127196495006e-67,441.8420018715683,3.329539551835221e-63
Gampaha,stage1_only,1,44.534362804113,34.339769936105284,73.89287075620172,1.1212986101585398,52,52,,,,,
Gampaha,stage1_plus_stage2,1,44.534362804113,34.339769936105284,73.89287075620172,1.1212986101585398,52,52,,,,,
