District,fold_id,stage2_trained,rmse,mae,smape,n_obs_scored,n_obs_total
Hambantota,8,True,28.71286970529662,21.631361839826468,68.97894320431521,52,52
Hambantota,9,True,8.20633383378173,6.175278670512715,49.741134736681644,52,52
Hambantota,holdout,True,14.646543845816119,8.659249403678542,94.48314017203852,104,104
Hambantota,validation_aggregate,True,,6.2539926825372785,,724,728
Jaffna,1,False,62.6132934344345,30.20040215232211,200.0,52,52
Jaffna,10,True,79.97681199316817,41.08324224105626,36.728528542610654,52,52
Jaffna,11,True,299.43228348217355,291.33002638152027,82.57840062442668,51,52
Jaffna,12,True,80.81215815363608,22.990750497919525,134.63873674858513,51,52
Jaffna,13,True,30.466560057600685,21.170364175452296,89.13001256426494,51,52
Jaffna,14,True,79.25689638623584,33.48429071800087,56.51682697864209,52,52
Jaffna,2,True,21.5230061710496,13.140103205216958,78.38130006630061,52,52
Jaffna,3,True,13.722771268675979,7.084921905135749,75.87837935287466,52,52
Jaffna,4,True,7.949709425737948,5.35099214234393,29.40365071077694,52,52
Jaffna,5,True,16.47911368820592,11.4403158161614,112.07437188449687,52,52
Jaffna,6,True,16.25690735827584,11.160640325321033,32.042706683596904,51,52
Jaffna,7,True,16.275564636529687,12.572726910680423,37.17694181786656,52,52
Jaffna,8,True,44.478396383843474,31.62251909352309,74.53917272462456,52,52
Jaffna,9,True,63.157735890428064,53.26466859640068,55.29339202610224,52,52
Jaffna,holdout,True,10.242121694193031,7.758368075985218,99.15000257108215,104,104
Jaffna,validation_aggregate,True,,22.08055733668591,,724,728
Kalutara,1,False,22.2293831682038,16.21393563665351,200.0,52,52
Kalutara,10,True,41.044949667032796,29.295233108042318,60.50013660774722,52,52
Kalutara,11,True,28.972002146530556,14.945000150329145,22.64671157925621,51,52
Kalutara,12,True,16.236996136559778,11.466993086465317,107.9512751327997,51,52
Kalutara,13,True,29.84201105603249,22.080787908024572,119.98565863421126,51,52
Kalutara,14,True,102.5081457788695,43.81700877318353,81.58694252453364,52,52
Kalutara,2,True,12.488589457621124,8.942713550979533,83.9842649971806,52,52
Kalutara,3,True,16.539028977362353,13.11997683046427,109.87730006065925,52,52
Kalutara,4,True,10.283991524387606,8.054940546524149,85.79513217191314,52,52
Kalutara,5,True,17.137151707383733,11.500598066883908,86.37206590074281,52,52
Kalutara,6,True,17.594568771581486,10.764108419402296,102.75061603437246,51,52
Kalutara,7,True,21.61979644053709,14.309238371691334,115.48520765842053,52,52
Kalutara,8,True,157.6988866025264,97.58562963174603,65.83484554201746,52,52
Kalutara,9,True,22.746890469707374,17.059846406322105,56.509432289057294,52,52
Kalutara,holdout,True,50.11760660666665,20.44871648437758,75.93988939787437,104,104
Kalutara,validation_aggregate,True,,14.62711926101024,,724,728
Kandy,1,False,19.54132464297868,15.964107314607466,200.0,52,52
Kandy,10,True,58.34083840909033,38.59024135410669,55.59607039086121,52,52
Kandy,11,True,79.58436664357781,69.28858172110182,32.1061069075609,51,52
Kandy,12,True,29.73959769247311,10.700278417059359,109.9301335085501,51,52
Kandy,13,True,29.156748202676713,18.212848402015194,75.51905297655294,51,52
Kandy,14,True,76.89851348565877,47.102662599188484,70.7152432497857,52,52
Kandy,2,True,22.408440568440007,16.19640795453474,107.86589278751894,52,52
Kandy,3,True,22.66870134301511,18.11844701275335,57.083118854566386,52,52
Kandy,4,True,9.439036856967459,7.909411109508905,106.34982141225757,52,52
Kandy,5,True,16.51340389039795,11.480364146289626,65.47424229456908,52,52
Kandy,6,True,21.3739762856704,13.40607261772383,33.993548521905055,51,52
Kandy,7,True,38.71412197166144,23.52126973593266,106.8522735672805,52,52
Kandy,8,True,275.1332267517728,161.03270938482004,89.64409110878655,52,52
Kandy,9,True,55.26575826408163,44.80020351717327,41.66514388848184,52,52
Kandy,holdout,True,43.153689307403155,20.766769429512582,84.77191038552319,104,104
Kandy,validation_aggregate,True,,18.165647707384274,,724,728
Kegalle,1,False,11.198714905804813,9.432148926794655,200.0,52,52
Kegalle,10,True,16.739983922760228,13.334175071441242,85.846262198707,52,52
Kegalle,11,True,9.563575145210525,6.568267358996061,18.317394476437006,51,52
Kegalle,12,True,130.9750846314201,30.74574444477892,113.35830235483309,51,52
Kegalle,13,True,26.790055813922486,18.802624479060498,124.69765665915973,51,52
Kegalle,14,True,22.981630441631257,14.865045992099684,84.51686422265638,52,52
Kegalle,2,True,13.211007470579437,9.681124782942401,105.40273423708302,52,52
Kegalle,3,True,13.886131858459938,10.551273537162192,111.12071435110467,52,52
Kegalle,4,True,10.50121764707082,8.397388869602851,58.31045677957272,52,52
Kegalle,5,True,11.143816279443886,8.321443808041602,87.93343444494961,52,52
