District,Year,Week,actual,is_reporting_anomaly,n_sarima_vintages,single_sarima,single_final,single_abs_error,mean_sarima,mean_final,mean_abs_error,median_sarima,median_final,median_abs_error,trimmed_mean_sarima,trimmed_mean_final,trimmed_mean_abs_error
Badulla,2026,21,19.0,False,4,18.911645222690588,13.4,5.6,18.00465245331282,12.5,6.5,18.703667020937246,13.2,5.800000000000001,18.703667020937246,13.2,5.800000000000001
Badulla,2026,22,23.0,False,4,19.068144008770417,16.5,6.5,18.172008709692406,15.6,7.4,18.84644825846547,16.3,6.699999999999999,18.84644825846547,16.3,6.699999999999999
Badulla,2026,23,36.0,False,4,22.347669681097557,22.3,13.7,19.452792066055643,19.5,16.5,19.29303565307483,19.3,16.7,19.29303565307483,19.3,16.7
Badulla,2026,24,34.0,False,4,32.258644687453945,37.8,3.799999999999997,23.19025046168497,30.4,3.6000000000000014,20.571348901836892,27.8,6.199999999999999,20.571348901836892,27.8,6.199999999999999
Badulla,2026,25,115.0,False,4,30.25256974369278,39.8,75.2,24.724188366828496,35.2,79.8,24.844052645915728,34.4,80.6,24.844052645915728,34.4,80.6
Batticaloa,2026,2,16.0,False,4,17.044274874104875,21.1,5.100000000000001,16.176319653108916,20.2,4.199999999999999,16.520575957741947,20.6,4.600000000000001,16.520575957741947,20.6,4.600000000000001
Batticaloa,2026,3,49.0,False,4,16.479935535564543,22.2,26.8,16.688887404399892,22.4,26.6,16.759863782849237,22.5,26.5,16.759863782849237,22.5,26.5
Batticaloa,2026,4,42.0,False,4,29.6055375552804,43.3,1.2999999999999972,19.13071261812764,33.7,8.299999999999997,16.759863782849237,31.3,10.7,16.759863782849237,31.3,10.7
Batticaloa,2026,5,58.0,False,4,35.70664852433998,57.4,0.6000000000000014,23.398099691610497,46.8,11.200000000000003,22.500100687384716,45.9,12.100000000000001,22.500100687384716,45.9,12.100000000000001
Batticaloa,2026,6,70.0,False,4,46.31627335988881,79.2,9.200000000000003,30.047295558741464,63.4,6.600000000000001,32.517558233561196,65.7,4.299999999999997,32.517558233561196,65.7,4.299999999999997
Batticaloa,2026,7,52.0,False,4,57.8066840446023,99.6,47.599999999999994,41.04801439108101,82.9,30.900000000000006,40.67519424913374,82.5,30.5,40.67519424913374,82.5,30.5
Batticaloa,2026,8,25.0,False,4,54.62244561356519,89.9,64.9,47.82115045730574,83.1,58.099999999999994,50.30152864776058,85.6,60.599999999999994,50.30152864776058,85.6,60.599999999999994
Batticaloa,2026,9,49.0,False,4,36.042174245651786,49.8,0.7999999999999972,47.93233535409933,61.6,12.600000000000001,50.30152864776058,64.0,15.0,50.30152864776058,64.0,15.0
Batticaloa,2026,10,58.0,False,4,42.48371267639454,63.3,5.299999999999997,46.90986695065399,67.8,9.799999999999997,48.17998010795298,69.0,11.0,48.17998010795298,69.0,11.0
Batticaloa,2026,11,60.0,False,4,50.18154941150665,78.8,18.799999999999997,45.27502363291966,73.9,13.900000000000006,46.17588143259907,74.8,14.799999999999997,46.17588143259907,74.8,14.799999999999997
Batticaloa,2026,12,51.0,False,4,55.213118884881865,87.9,36.900000000000006,45.39738988350839,78.1,27.099999999999994,46.17588143259907,78.9,27.900000000000006,46.17588143259907,78.9,27.900000000000006
Batticaloa,2026,13,40.0,False,4,52.921325972503084,80.6,40.599999999999994,49.96353834302846,77.7,37.7,51.53357982848326,79.2,39.2,51.53357982848326,79.2,39.2
Batticaloa,2026,14,28.0,False,4,45.580905596974674,65.3,37.3,50.84774834490385,70.5,42.5,51.53357982848326,71.2,43.2,51.53357982848326,71.2,43.2
Batticaloa,2026,15,37.0,False,4,35.159128611768246,46.5,9.5,46.534182826188285,57.8,20.799999999999997,49.116905279445035,60.4,23.4,49.116905279445035,60.4,23.4
Batticaloa,2026,16,29.0,False,4,36.13192424761604,48.2,19.200000000000003,41.853221500397225,53.8,24.799999999999997,40.58892470372632,52.6,23.6,40.58892470372632,52.6,23.6
Batticaloa,2026,17,37.0,False,4,32.131654916877665,43.9,6.899999999999999,36.94059323290457,48.3,11.299999999999997,35.64229829680425,47.1,10.100000000000001,35.64229829680425,47.1,10.100000000000001
Batticaloa,2026,18,29.0,False,4,34.65023899502815,46.4,17.4,34.486874178204964,46.4,17.4,34.90378220830639,46.7,17.700000000000003,34.90378220830639,46.7,17.700000000000003
Batticaloa,2026,19,46.0,False,4,31.510165635876966,44.3,1.7000000000000028,33.55556937215152,46.3,0.29999999999999716,33.36788349735096,46.2,0.20000000000000284,33.36788349735096,46.2,0.20000000000000284
Batticaloa,2026,20,45.0,False,4,38.585706738808724,56.4,11.399999999999999,34.112826457470625,52.1,7.100000000000001,33.36788349735096,51.5,6.5,33.36788349735096,51.5,6.5
Batticaloa,2026,21,47.0,False,4,41.89324883330499,65.0,18.0,36.45434815995246,59.7,12.700000000000003,36.566473164586895,59.8,12.799999999999997,36.566473164586895,59.8,12.799999999999997
Batticaloa,2026,22,37.0,False,4,44.550848145753505,71.7,34.7,38.820870416773595,65.9,28.900000000000006,40.20630497132643,67.3,30.299999999999997,40.20630497132643,67.3,30.299999999999997
Batticaloa,2026,23,48.0,False,4,40.346522501426065,59.1,11.100000000000001,41.287859253789385,60.1,12.100000000000001,41.112785208835476,59.9,11.899999999999999,41.112785208835476,59.9,11.899999999999999
Batticaloa,2026,24,89.0,False,4,44.273419143517245,72.5,16.5,42.73125321966777,70.9,18.099999999999994,43.06726713624751,71.3,17.700000000000003,43.06726713624751,71.3,17.700000000000003
Batticaloa,2026,25,52.0,False,4,64.36108263038244,116.6,64.6,47.58749366735632,99.9,47.900000000000006,44.41192178762538,96.7,44.7,44.41192178762538,96.7,44.7
Colombo,2026,2,594.0,False,4,387.9869771657265,579.8,14.200000000000045,328.7092341873221,520.5,73.5,325.42516782542816,520.3,73.70000000000005,325.42516782542816,520.3,73.70000000000005
Colombo,2026,3,555.0,False,4,484.13359299607714,792.6,237.60000000000002,374.1547607868777,682.6,127.60000000000002,362.4042862609872,670.9,115.89999999999998,362.4042862609872,670.9,115.89999999999998
Colombo,2026,4,484.0,False,4,509.49965949171826,821.7,337.70000000000005,421.51000539397575,733.7,249.70000000000005,424.99095033980655,737.2,253.20000000000005,424.99095033980655,737.2,253.20000000000005
Colombo,2026,5,447.0,False,4,490.2757034599617,766.9,319.9,459.3612866181115,736.0,289.0,480.6257629332846,757.3,310.29999999999995,480.6257629332846,757.3,310.29999999999995
Colombo,2026,6,418.0,False,4,466.64619429629715,668.8,250.79999999999995,482.8741586421404,685.0,267.0,480.91119606358876,683.0,265.0,480.91119606358876,683.0,265.0
Colombo,2026,7,366.0,False,4,441.44283805088986,628.5,262.5,475.7258106849034,662.8,296.79999999999995,479.95063407698535,667.1,301.1,479.95063407698535,667.1,301.1
Colombo,2026,8,347.0,False,4,400.7442598154514,554.7,207.70000000000005,450.1015773009159,604.1,257.1,456.65252398068725,610.6,263.6,456.65252398068725,610.6,263.6
Colombo,2026,9,301.0,False,4,374.2070159868152,507.7,206.7,421.75249760295765,555.2,254.20000000000005,424.424195311026,557.9,256.9,424.424195311026,557.9,256.9
Colombo,2026,10,350.0,False,4,334.9058587282494,451.3,101.30000000000001,388.63521384940606,505.0,155.0,391.3584643907709,507.7,157.7,391.3584643907709,507.7,157.7
Colombo,2026,11,287.0,False,4,347.5379064090255,474.6,187.60000000000002,366.6790514133707,493.7,206.7,362.449250624872,489.5,202.5,362.449250624872,489.5,202.5
Colombo,2026,12,282.0,False,4,312.4869865490691,426.1,144.10000000000002,343.5843679800508,433.8,151.8,343.45686281840847,433.7,151.7,343.45686281840847,433.7,151.7
Colombo,2026,13,316.0,False,4,298.3020179927699,399.9,83.89999999999998,324.6516103717175,426.2,110.19999999999999,327.4964285771454,429.0,113.0,327.4964285771454,429.0,113.0
Colombo,2026,14,9.0,True,4,309.99472996022064,426.4,417.4,317.91699101612977,434.3,425.3,313.0047805273607,429.4,420.4,313.0047805273607,429.4,420.4
Colombo,2026,15,291.0,False,4,45.7854879009707,0.0,291.0,192.01927914675244,90.8,200.2,304.88282337105,203.7,87.30000000000001,304.88282337105,203.7,87.30000000000001
