horizon,District,split,approach,n,mae,mase,smape_pct
2,Mannar,pre_holdout,recursive,672,4.319484702093398,0.5398654389260552,111.22056700883185
2,Mannar,pre_holdout,direct,672,4.840896398676831,0.6050334332242576,135.62177350837186
2,Mannar,holdout,sarima_alone,101,3.794815123648571,0.47429026230348514,150.19933794917804
2,Mannar,holdout,recursive,101,2.9198019801980197,0.3649278296674672,77.04050740159413
2,Mannar,holdout,direct,101,2.9953773947049065,0.3743735291290269,82.27864899841335
2,Mannar,all,sarima_alone,773,5.097764092243009,0.6371377233646582,156.00877582944173
2,Mannar,all,recursive,773,4.123684210526316,0.515393557298469,106.439145928041
2,Mannar,all,direct,773,4.58272822776109,0.5727666045350355,128.15964667249122
2,Matale,pre_holdout,sarima_alone,672,8.923079479491454,0.4127321117064515,61.85936828801375
2,Matale,pre_holdout,recursive,672,8.423363095238095,0.38961800642461036,64.75618742806994
2,Matale,pre_holdout,direct,672,8.579916218794908,0.39685928466586695,59.18250205697508
2,Matale,holdout,sarima_alone,101,9.7353560616119,0.4503035162645758,33.81641343932594
2,Matale,holdout,recursive,101,10.676237623762376,0.49382347312527186,37.87269898203129
2,Matale,holdout,direct,101,9.30648340355459,0.43046624839982284,31.401348561446973
2,Matale,all,sarima_alone,773,9.029211348565404,0.4176411826771766,58.19528233753838
2,Matale,all,recursive,773,8.717723156532989,0.403233468438539,61.243597087772514
2,Matale,all,direct,773,8.674849317967908,0.40125036272166203,55.55262301034074
2,Matara,pre_holdout,sarima_alone,672,12.916344613525661,0.40183440651354,54.00936285346941
2,Matara,pre_holdout,recursive,672,12.962053571428571,0.4032564367024864,58.479931578970124
2,Matara,pre_holdout,direct,672,12.044314631064015,0.3747050861872965,52.71875352804384
2,Matara,holdout,sarima_alone,101,18.080197818274172,0.5624846485084972,37.79628672626784
2,Matara,holdout,recursive,101,19.026732673267325,0.5919318553678018,41.25723763642428
2,Matara,holdout,direct,101,17.984769611180173,0.5595158258183599,36.627260224706134
2,Matara,all,sarima_alone,773,13.591052470808457,0.42282492972374797,51.89096610204981
2,Matara,all,recursive,773,13.754463130659769,0.42790872297052895,56.22961839889621
2,Matara,all,direct,773,12.820493095477639,0.39885241439264885,50.61624276007862
2,Monaragala,pre_holdout,sarima_alone,672,5.562789991872454,0.4331717639777643,68.73071613424288
2,Monaragala,pre_holdout,recursive,672,5.812946428571428,0.45265132461435276,69.38623000192646
2,Monaragala,pre_holdout,direct,672,5.875153742405241,0.45749537803090834,69.60249476511767
2,Monaragala,holdout,sarima_alone,101,6.130901408848322,0.4774103250212146,34.885534005744404
2,Monaragala,holdout,recursive,101,6.982178217821781,0.5436988380722482,40.56140359352812
