Year,Week,model,spearman_rho,precision_at_3,precision_at_5
2007,24,"Stage 2 RF, official",0.7576022873289808,0.6666666666666666,0.8
2007,25,Stage 1 alone (Risk_0),0.7550873168398331,0.6666666666666666,1.0
2007,25,Naive persistence (no model),0.8843474236582645,0.6666666666666666,0.8
2007,25,"Stage 2 RF, official",0.8764054668589611,0.6666666666666666,1.0
2007,26,Stage 1 alone (Risk_0),0.7155048046940575,0.3333333333333333,0.6
2007,26,Naive persistence (no model),0.6850905486938753,0.6666666666666666,0.8
2007,26,"Stage 2 RF, official",0.7969312669747335,0.6666666666666666,0.6
2007,27,Stage 1 alone (Risk_0),0.7548492960315554,0.3333333333333333,0.8
2007,27,Naive persistence (no model),0.812077592901006,1.0,0.8
2007,27,"Stage 2 RF, official",0.7995840914717596,1.0,0.8
2007,28,Stage 1 alone (Risk_0),0.7919024325385774,0.3333333333333333,0.4
2007,28,Naive persistence (no model),0.9170244686455381,0.6666666666666666,0.8
2007,28,"Stage 2 RF, official",0.9174383116748025,0.6666666666666666,0.8
2007,29,Stage 1 alone (Risk_0),0.696351817301328,0.6666666666666666,0.6
2007,29,Naive persistence (no model),0.7966342186726587,0.6666666666666666,0.8
2007,29,"Stage 2 RF, official",0.8713325303667899,0.6666666666666666,0.8
2007,30,Stage 1 alone (Risk_0),0.7264279017443788,0.3333333333333333,0.6
2007,30,Naive persistence (no model),0.7666955237922933,0.6666666666666666,0.8
2007,30,"Stage 2 RF, official",0.8005203263125417,0.6666666666666666,0.8
2007,31,Stage 1 alone (Risk_0),0.8336603230784397,0.3333333333333333,0.4
2007,31,Naive persistence (no model),0.6216237439453682,1.0,0.8
2007,31,"Stage 2 RF, official",0.9152609570550588,1.0,0.8
2007,32,Stage 1 alone (Risk_0),0.832383577327358,0.6666666666666666,0.6
2007,32,Naive persistence (no model),0.7892115351825044,0.6666666666666666,1.0
2007,32,"Stage 2 RF, official",0.8318161625065312,0.6666666666666666,1.0
2007,33,Stage 1 alone (Risk_0),0.6867316394819141,0.6666666666666666,0.8
2007,33,Naive persistence (no model),0.7375372623431498,0.3333333333333333,1.0
2007,33,"Stage 2 RF, official",0.7446972617902224,0.6666666666666666,1.0
2007,34,Stage 1 alone (Risk_0),0.8273538915115637,0.6666666666666666,1.0
2007,34,Naive persistence (no model),0.8849867203205456,0.6666666666666666,0.8
2007,34,"Stage 2 RF, official",0.8924659500709005,0.6666666666666666,0.8
2007,35,Stage 1 alone (Risk_0),0.8735012659054716,0.6666666666666666,0.6
2007,35,Naive persistence (no model),0.845030831733052,0.6666666666666666,0.4
2007,35,"Stage 2 RF, official",0.9515554876904689,0.6666666666666666,0.8
