District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,is_imputed,is_reporting_anomaly,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),climate_data_source,Estimated_Population,Source_Type,cases_per_100k,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rolling_mean_cases_4w,rolling_std_cases_4w,rate_of_change,weeks_since_reporting_anomaly,reporting_rebound_ratio_lag1,suspected_backfill_week,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_7,rainfall_lag_8,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_4,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,sin_week,cos_week,monsoon_indicator_SW,monsoon_indicator_NE
Colombo,2011,16,2011-04-16,2011-04-22,116.0,False,False,68.0,68.0,86.57142857142857,94.28571428571428,74.57142857142857,29.87142857142857,24.414285714285715,31.857142857142858,36.75714285714286,29.357142857142858,26.442857142857143,observed,2317706,interpolated,5.004948858914807,46.0,54.0,99.0,81.0,70.0,24.45403852127496,-8.0,,,0,11.5,13.6,18.4,5.800000000000001,32.8,23.1,10.2,26.67142857142857,27.071428571428573,26.942857142857143,26.971428571428568,84.0,81.14285714285714,84.42857142857143,82.57142857142857,0.9350162426854148,-0.35460488704253545,0,0
Colombo,2011,17,2011-04-23,2011-04-29,138.0,False,False,82.8,82.8,89.71428571428571,95.14285714285714,79.0,28.5,24.74285714285714,31.5,34.18571428571429,29.67142857142857,26.24285714285714,observed,2317706,interpolated,5.95416329767451,116.0,46.0,54.0,99.0,78.75,34.07222720437668,70.0,,,0,47.9,11.5,13.6,18.4,5.800000000000001,32.8,23.1,26.442857142857143,26.67142857142857,27.071428571428573,26.942857142857143,86.57142857142857,84.0,81.14285714285714,84.42857142857143,0.8854560256532099,-0.4647231720437685,0,0
Colombo,2011,18,2011-04-30,2011-05-06,157.0,False,False,41.2,41.2,89.14285714285714,94.85714285714286,79.28571428571429,29.25714285714286,25.071428571428573,32.17142857142857,35.42857142857143,30.12857142857143,26.81428571428572,observed,2317706,interpolated,6.773939403876073,138.0,116.0,46.0,54.0,88.5,45.471602860100134,22.0,,,0,68.0,47.9,11.5,13.6,18.4,5.800000000000001,32.8,26.24285714285714,26.442857142857143,26.67142857142857,27.071428571428573,89.71428571428571,86.57142857142857,84.0,81.14285714285714,0.8229838658936565,-0.5680647467311557,0,0
Colombo,2011,19,2011-05-07,2011-05-13,112.0,False,False,31.7,31.7,87.57142857142857,93.57142857142856,79.0,29.457142857142856,25.3,32.18571428571429,35.885714285714286,30.071428571428573,27.02857142857143,observed,2317706,interpolated,4.832364415503951,157.0,138.0,116.0,46.0,114.25,48.48625234710006,19.0,,,0,82.8,68.0,47.9,11.5,13.6,18.4,5.800000000000001,26.81428571428572,26.24285714285714,26.442857142857143,26.67142857142857,89.14285714285714,89.71428571428571,86.57142857142857,84.0,0.7485107481711013,-0.663122658240795,0,0
Colombo,2011,20,2011-05-14,2011-05-20,108.0,False,False,18.5,18.5,84.71428571428571,92.57142857142856,75.0,29.87142857142857,24.942857142857143,32.42857142857143,36.57142857142857,29.81428571428572,27.2,observed,2317706,interpolated,4.659779972093096,112.0,157.0,138.0,116.0,130.75,20.90255167836373,-45.0,,,0,41.2,82.8,68.0,47.9,11.5,13.6,18.4,27.02857142857143,26.81428571428572,26.24285714285714,26.442857142857143,87.57142857142857,89.14285714285714,89.71428571428571,86.57142857142857,0.6631226582407952,-0.7485107481711012,1,0
Colombo,2011,21,2011-05-21,2011-05-27,250.0,False,False,47.3,47.3,87.57142857142857,94.57142857142856,78.57142857142857,29.24285714285714,24.842857142857145,31.65714285714285,35.25714285714286,29.62857142857143,26.61428571428572,observed,2317706,interpolated,10.786527713178462,108.0,112.0,157.0,138.0,128.75,23.056091024571643,-4.0,,,0,31.7,41.2,82.8,68.0,47.9,11.5,13.6,27.2,27.02857142857143,26.81428571428572,26.24285714285714,84.71428571428571,87.57142857142857,89.14285714285714,89.71428571428571,0.5680647467311558,-0.8229838658936564,1,0
Colombo,2011,22,2011-05-28,2011-06-03,235.0,False,False,82.0,82.0,86.42857142857143,93.14285714285714,76.0,28.87142857142857,24.957142857142856,31.12857142857143,33.4,29.3,26.61428571428572,observed,2317706,interpolated,10.139336050387756,250.0,108.0,112.0,157.0,156.75,66.01704325399615,142.0,,,0,18.5,31.7,41.2,82.8,68.0,47.9,11.5,26.61428571428572,27.2,27.02857142857143,26.81428571428572,87.57142857142857,84.71428571428571,87.57142857142857,89.14285714285714,0.46472317204376906,-0.8854560256532096,1,0
Colombo,2011,23,2011-06-04,2011-06-10,99.0,False,False,40.1,40.1,89.42857142857143,94.42857142857144,82.0,28.914285714285715,24.957142857142856,31.914285714285715,35.0,29.97142857142857,26.65714285714285,observed,2317706,interpolated,4.271464974418671,235.0,250.0,108.0,112.0,176.25,76.76099269811458,-15.0,,,0,47.3,18.5,31.7,41.2,82.8,68.0,47.9,26.61428571428572,26.61428571428572,27.2,27.02857142857143,86.42857142857143,87.57142857142857,84.71428571428571,87.57142857142857,0.35460488704253584,-0.9350162426854147,1,0
Colombo,2011,24,2011-06-11,2011-06-17,384.0,False,False,51.8,51.8,87.71428571428571,92.85714285714286,79.57142857142857,28.74285714285714,25.15714285714285,31.414285714285715,34.01428571428571,29.77142857142857,26.6,observed,2317706,interpolated,16.56810656744212,99.0,235.0,250.0,108.0,173.0,80.56881116991445,-136.0,,,0,82.0,47.3,18.5,31.7,41.2,82.8,68.0,26.65714285714285,26.61428571428572,26.61428571428572,27.2,89.42857142857143,86.42857142857143,87.57142857142857,84.71428571428571,0.23931566428755768,-0.970941817426052,1,0
Colombo,2011,25,2011-06-18,2011-06-24,306.0,False,False,17.4,17.4,83.28571428571429,90.57142857142856,74.0,29.357142857142858,25.7,32.128571428571426,34.75714285714286,30.82857142857143,27.27142857142857,observed,2317706,interpolated,13.202709920930438,384.0,99.0,235.0,250.0,242.0,116.51323243878068,285.0,,,0,40.1,82.0,47.3,18.5,31.7,41.2,82.8,26.6,26.65714285714285,26.61428571428572,26.61428571428572,87.71428571428571,89.42857142857143,86.42857142857143,87.57142857142857,0.12053668025532308,-0.992708874098054,1,0
