District,Year,Week,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code)
Kalutara,2019,52,37.7,37.7,87.85714285714286,97.85714285714286,70.85714285714286,29.614285714285717,23.414285714285715,31.37142857142857,36.285714285714285,28.014285714285712,26.02857142857143,51
Kalutara,2019,53,12.4,12.4,84.0,95.71428571428571,68.42857142857143,29.900000000000002,23.657142857142855,31.785714285714285,36.41428571428572,28.32857142857143,26.599999999999998,51
Kalutara,2020,2,7.6,7.6,85.14285714285714,96.42857142857143,70.57142857142857,29.52857142857143,23.25714285714286,31.728571428571428,36.214285714285715,27.614285714285717,26.47142857142857,51
Kalutara,2020,3,3.0999999999999996,3.0999999999999996,75.57142857142857,92.42857142857143,51.285714285714285,31.014285714285712,22.085714285714285,29.914285714285715,35.67142857142857,25.099999999999998,26.285714285714285,3
Kalutara,2020,4,10.2,10.2,83.28571428571429,96.0,65.57142857142857,30.5,24.02857142857143,32.48571428571428,36.642857142857146,28.67142857142857,27.099999999999998,51
Kalutara,2020,5,0.9,0.9,79.57142857142857,93.71428571428571,60.285714285714285,30.042857142857144,23.02857142857143,30.728571428571428,35.65714285714286,26.599999999999998,26.385714285714283,51
Kalutara,2020,6,4.6,4.6,78.85714285714286,93.42857142857143,62.285714285714285,30.185714285714287,23.3,31.157142857142855,35.82857142857143,27.142857142857142,26.714285714285715,51
Kalutara,2020,7,20.9,20.9,77.42857142857143,93.0,58.57142857142857,31.185714285714287,23.785714285714285,31.857142857142858,36.82857142857143,27.957142857142856,27.285714285714285,51
Kalutara,2020,8,7.1,7.1,80.71428571428571,94.85714285714286,62.857142857142854,30.685714285714287,23.82857142857143,32.114285714285714,37.07142857142857,28.285714285714285,27.085714285714285,51
Kalutara,2020,9,3.5,3.5,79.57142857142857,94.0,61.42857142857143,31.099999999999998,24.542857142857144,32.857142857142854,37.285714285714285,29.428571428571427,27.728571428571428,51
Kalutara,2020,10,3.7,3.7,78.0,92.0,60.42857142857143,31.157142857142855,24.74285714285714,32.42857142857143,36.8,29.52857142857143,27.657142857142855,51
Kalutara,2020,11,4.4,4.4,75.42857142857143,89.57142857142857,53.57142857142857,32.18571428571429,24.728571428571428,32.82857142857143,37.68571428571429,28.985714285714288,28.02857142857143,51
Kalutara,2020,12,30.299999999999997,30.299999999999997,82.57142857142857,95.28571428571429,63.857142857142854,31.314285714285717,24.771428571428572,33.371428571428574,37.94285714285714,29.814285714285713,27.67142857142857,51
Kalutara,2020,13,3.6999999999999997,3.6999999999999997,77.42857142857143,94.85714285714286,56.42857142857143,31.571428571428573,23.842857142857145,32.4,37.9,28.428571428571427,27.571428571428573,51
Kalutara,2020,14,19.400000000000002,19.400000000000002,78.71428571428571,94.71428571428571,58.714285714285715,31.514285714285712,24.185714285714287,32.885714285714286,37.699999999999996,28.957142857142856,27.74285714285714,51
Kalutara,2020,15,25.3,25.3,80.85714285714286,96.28571428571429,61.285714285714285,31.557142857142857,24.642857142857142,33.285714285714285,37.885714285714286,29.74285714285714,27.8,51
Kalutara,2020,16,60.0,60.0,84.71428571428571,96.71428571428571,65.85714285714286,31.385714285714283,24.285714285714285,33.0,38.92857142857143,29.25714285714286,27.185714285714287,63
Kalutara,2020,17,56.7,56.7,85.28571428571429,96.57142857142857,69.0,30.985714285714288,24.642857142857142,33.17142857142857,38.24285714285714,29.7,27.342857142857145,63
Kalutara,2020,18,18.2,18.2,85.85714285714286,96.14285714285714,73.28571428571429,30.714285714285715,25.442857142857143,34.142857142857146,38.01428571428572,31.085714285714285,27.957142857142856,53
Kalutara,2020,19,46.1,46.1,86.57142857142857,96.42857142857143,74.14285714285714,30.185714285714287,25.47142857142857,33.714285714285715,36.957142857142856,31.12857142857143,27.728571428571428,55
Kalutara,2020,20,57.1,57.1,87.85714285714286,96.42857142857143,75.42857142857143,29.87142857142857,24.985714285714288,32.957142857142856,36.32857142857143,30.214285714285715,27.17142857142857,61
Kalutara,2020,21,122.5,122.5,85.0,93.71428571428571,75.71428571428571,29.657142857142855,25.814285714285713,32.371428571428574,34.042857142857144,30.285714285714285,27.87142857142857,63
Kalutara,2020,22,74.5,74.5,86.71428571428571,93.14285714285714,79.85714285714286,29.057142857142857,26.114285714285717,32.48571428571429,34.15714285714286,30.97142857142857,27.414285714285715,63
Kalutara,2020,23,13.9,13.9,82.57142857142857,92.85714285714286,72.28571428571429,29.885714285714283,25.5,32.82857142857143,35.714285714285715,30.457142857142856,27.67142857142857,51
Kalutara,2020,24,117.80000000000001,117.80000000000001,86.14285714285714,93.57142857142857,79.14285714285714,28.885714285714283,25.52857142857143,31.885714285714283,33.885714285714286,29.914285714285715,27.214285714285715,63
Kalutara,2020,25,43.2,43.2,85.42857142857143,92.28571428571429,77.57142857142857,29.528571428571432,26.099999999999998,32.957142857142856,35.34285714285714,31.02857142857143,27.75714285714286,63
Kalutara,2020,26,53.3,53.3,84.28571428571429,92.14285714285714,76.0,29.042857142857144,25.657142857142855,32.128571428571426,33.84285714285714,30.385714285714283,27.357142857142858,53
Kalutara,2020,27,46.1,46.1,86.0,93.42857142857143,77.57142857142857,29.0,25.357142857142858,32.1,34.385714285714286,30.042857142857144,27.157142857142855,61
Kalutara,2020,28,67.6,67.6,84.28571428571429,93.57142857142857,75.57142857142857,29.214285714285715,25.414285714285715,32.02857142857143,34.142857142857146,30.085714285714285,27.271428571428572,63
Kalutara,2020,29,53.5,53.5,86.14285714285714,92.85714285714286,77.42857142857143,28.642857142857142,25.357142857142858,31.8,33.75714285714286,30.071428571428573,26.900000000000002,61
Kalutara,2020,30,66.5,66.5,86.85714285714286,94.85714285714286,76.57142857142857,28.67142857142857,24.599999999999998,31.485714285714288,34.27142857142857,29.17142857142857,26.457142857142856,61
Kalutara,2020,31,56.400000000000006,56.400000000000006,86.42857142857143,94.14285714285714,77.71428571428571,28.32857142857143,24.8,31.042857142857144,32.51428571428571,29.057142857142857,26.557142857142857,51
Kalutara,2020,32,71.5,71.5,87.42857142857143,92.71428571428571,80.85714285714286,28.25714285714286,25.285714285714285,30.785714285714285,32.68571428571429,28.757142857142856,26.557142857142857,63
Kalutara,2020,33,48.400000000000006,48.400000000000006,86.0,93.57142857142857,76.57142857142857,28.414285714285715,25.071428571428573,31.142857142857142,33.51428571428571,29.557142857142857,26.585714285714285,51
Kalutara,2020,34,10.1,10.1,84.28571428571429,93.85714285714286,73.42857142857143,29.271428571428572,25.085714285714285,32.25714285714286,35.457142857142856,30.17142857142857,27.02857142857143,51
Kalutara,2020,35,12.8,12.8,83.14285714285714,92.85714285714286,72.28571428571429,29.414285714285715,25.114285714285717,32.44285714285714,35.34285714285714,30.2,27.25714285714286,51
Kalutara,2020,36,68.0,68.0,85.14285714285714,91.71428571428571,76.28571428571429,28.357142857142858,25.185714285714287,31.24285714285714,33.2,29.685714285714287,26.557142857142857,51
Kalutara,2020,37,102.5,102.5,86.14285714285714,94.14285714285714,76.57142857142857,28.342857142857145,24.614285714285717,30.728571428571428,32.92857142857143,28.3,26.400000000000002,63
Kalutara,2020,38,72.0,72.0,87.71428571428571,93.71428571428571,81.14285714285714,27.8,24.785714285714285,30.52857142857143,32.642857142857146,28.857142857142858,26.257142857142856,53
Kalutara,2020,39,77.89999999999999,77.89999999999999,87.57142857142857,93.71428571428571,79.71428571428571,28.042857142857144,24.771428571428572,30.485714285714288,32.82857142857143,28.685714285714287,26.228571428571428,63
Kalutara,2020,40,51.4,51.4,85.28571428571429,92.71428571428571,77.0,28.400000000000002,24.857142857142858,31.02857142857143,33.4,29.25714285714286,26.52857142857143,61
Kalutara,2020,41,25.299999999999997,25.299999999999997,82.0,92.14285714285714,72.57142857142857,29.02857142857143,24.75714285714286,31.12857142857143,33.65714285714286,29.057142857142857,26.914285714285715,53
Kalutara,2020,42,43.5,43.5,85.0,91.71428571428571,78.14285714285714,28.571428571428573,25.414285714285715,30.614285714285717,32.957142857142856,28.914285714285715,26.857142857142858,61
Kalutara,2020,43,20.6,20.6,83.28571428571429,91.57142857142857,75.85714285714286,28.714285714285715,25.271428571428572,31.32857142857143,33.7,29.67142857142857,27.0,51
Kalutara,2020,44,17.1,17.1,86.28571428571429,96.14285714285714,75.0,28.985714285714288,24.271428571428572,32.0,34.885714285714286,29.428571428571427,26.614285714285717,51
Kalutara,2020,45,22.799999999999997,22.799999999999997,84.85714285714286,95.85714285714286,71.0,29.571428571428573,23.857142857142858,32.02857142857143,35.871428571428574,28.771428571428572,26.657142857142855,51
Kalutara,2020,46,94.0,94.0,89.14285714285714,98.14285714285714,73.57142857142857,29.657142857142855,23.414285714285715,31.514285714285712,37.05714285714286,28.142857142857142,25.97142857142857,63
Kalutara,2020,47,97.9,97.9,87.57142857142857,96.42857142857143,72.57142857142857,29.357142857142858,23.885714285714283,31.085714285714285,35.22857142857143,28.342857142857145,26.12857142857143,63
Kalutara,2020,48,38.9,38.9,84.71428571428571,95.42857142857143,69.28571428571429,29.214285714285715,23.599999999999998,30.414285714285715,34.05714285714286,27.37142857142857,26.02857142857143,53
Kalutara,2020,49,36.5,36.5,84.14285714285714,94.0,71.14285714285714,29.214285714285715,23.957142857142856,30.857142857142858,34.028571428571425,28.014285714285712,26.457142857142856,51
Kalutara,2020,50,17.2,17.2,84.28571428571429,96.14285714285714,67.71428571428571,29.62857142857143,23.157142857142855,31.114285714285717,35.2,27.47142857142857,26.214285714285715,3
Kalutara,2020,51,8.6,8.6,83.0,96.14285714285714,63.857142857142854,29.428571428571427,22.599999999999998,30.285714285714285,35.142857142857146,26.5,25.74285714285714,51
Kalutara,2020,52,34.699999999999996,34.699999999999996,89.14285714285714,96.71428571428571,75.85714285714286,28.214285714285715,23.099999999999998,30.114285714285717,34.1,27.142857142857142,25.271428571428572,63
Kalutara,2021,1,115.8,115.8,87.0,97.28571428571429,70.42857142857143,29.3,22.885714285714283,30.099999999999998,35.214285714285715,26.942857142857143,25.457142857142856,65
Kalutara,2021,2,27.9,27.9,89.0,97.28571428571429,74.42857142857143,28.400000000000002,22.900000000000002,30.47142857142857,34.27142857142857,27.342857142857145,25.385714285714283,61
Kalutara,2021,3,136.5,136.5,89.57142857142857,96.85714285714286,75.57142857142857,28.47142857142857,23.0,29.900000000000002,33.728571428571435,27.228571428571428,25.157142857142855,63
Kalutara,2021,4,55.2,55.2,86.85714285714286,96.85714285714286,70.14285714285714,29.285714285714285,22.842857142857145,30.214285714285715,35.01428571428571,26.87142857142857,25.514285714285712,53
Kalutara,2021,5,4.4,4.4,81.57142857142857,94.42857142857143,63.142857142857146,29.271428571428572,22.357142857142858,29.842857142857145,34.42857142857143,25.657142857142855,25.642857142857142,51
Kalutara,2021,6,21.200000000000003,21.200000000000003,83.57142857142857,95.85714285714286,65.57142857142857,29.95714285714286,22.7,30.52857142857143,35.77142857142857,26.271428571428572,25.87142857142857,3
Kalutara,2021,7,5.699999999999999,5.699999999999999,77.85714285714286,92.85714285714286,56.42857142857143,30.814285714285717,22.385714285714283,29.942857142857143,36.857142857142854,25.114285714285717,26.042857142857144,3
Kalutara,2021,8,5.300000000000001,5.300000000000001,81.28571428571429,95.42857142857143,62.0,30.32857142857143,22.771428571428572,31.02857142857143,36.028571428571425,26.957142857142856,26.414285714285715,51
Kalutara,2021,9,10.4,10.4,82.0,96.57142857142857,60.857142857142854,30.814285714285713,23.642857142857142,31.842857142857145,36.81428571428571,28.12857142857143,26.82857142857143,51
Kalutara,2021,10,6.6,6.6,76.85714285714286,94.28571428571429,55.0,30.771428571428572,23.228571428571428,31.085714285714285,35.785714285714285,27.24285714285714,26.842857142857145,51
Kalutara,2021,11,75.6,75.6,83.85714285714286,95.57142857142857,64.71428571428571,30.385714285714283,23.314285714285713,31.3,36.857142857142854,27.642857142857142,26.214285714285715,51
Kalutara,2021,12,23.5,23.5,85.14285714285714,96.57142857142857,69.71428571428571,29.7,23.62857142857143,31.771428571428572,36.17142857142857,28.24285714285714,26.485714285714288,63
Kalutara,2021,13,48.8,48.8,85.57142857142857,96.28571428571429,69.71428571428571,29.75714285714286,23.442857142857143,31.4,36.371428571428574,27.985714285714288,26.17142857142857,63
Kalutara,2021,14,76.8,76.8,84.14285714285714,95.28571428571429,70.71428571428571,30.057142857142857,24.042857142857144,31.942857142857143,36.07142857142857,28.585714285714285,26.857142857142858,51
Kalutara,2021,15,8.1,8.1,81.57142857142857,94.0,64.71428571428571,30.585714285714285,24.271428571428572,32.74285714285714,36.699999999999996,28.928571428571427,27.400000000000002,51
Kalutara,2021,16,35.7,35.7,84.0,95.85714285714286,68.85714285714286,30.157142857142855,23.857142857142858,31.900000000000002,36.871428571428574,28.599999999999998,26.7,51
