District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases
Ampara,2012,7,2012-02-11,2012-02-17,5
Ampara,2012,8,2012-02-18,2012-02-24,9
Ampara,2012,9,2012-02-25,2012-03-02,7
Ampara,2012,10,2012-03-03,2012-03-09,3
Ampara,2012,11,2012-03-10,2012-03-16,8
Ampara,2012,12,2012-03-17,2012-03-23,0
Ampara,2012,13,2012-03-24,2012-03-30,1
Ampara,2012,14,2012-03-31,2012-04-06,1
Ampara,2012,15,2012-04-07,2012-04-13,4
Ampara,2012,16,2012-04-14,2012-04-20,1
Ampara,2012,17,2012-04-21,2012-04-27,4
Ampara,2012,18,2012-04-28,2012-05-04,1
Ampara,2012,19,2012-05-05,2012-05-11,5
Ampara,2012,20,2012-04-12,2012-04-18,0
Ampara,2012,21,2012-05-19,2012-05-25,0
Ampara,2012,22,2012-06-02,2012-06-08,0
Ampara,2012,23,2012-06-02,2012-06-08,1
Ampara,2012,24,2012-06-09,2012-06-15,1
Ampara,2012,25,2012-06-16,2012-06-22,0
Ampara,2012,26,2012-06-23,2012-06-29,1
Ampara,2012,27,2012-06-30,2012-07-06,0
Ampara,2012,28,2012-07-06,2012-07-13,2
Ampara,2012,29,2012-07-14,2012-07-20,1
Ampara,2012,30,2012-07-21,2012-07-27,1
Ampara,2012,31,2012-07-28,2012-08-03,1
Ampara,2012,32,2012-08-04,2012-08-10,2
Ampara,2012,33,2012-08-11,2012-08-17,1
Ampara,2012,34,2012-08-18,2012-08-24,0
Ampara,2012,35,2012-08-25,2012-08-31,2
Ampara,2012,36,2012-09-01,2012-09-07,0
Ampara,2012,37,2012-09-08,2012-09-14,3
Ampara,2012,38,2012-09-15,2012-09-21,0
Ampara,2012,39,2012-09-22,2012-09-28,1
Ampara,2012,40,2012-09-29,2012-10-05,3
Ampara,2012,41,2012-10-06,2012-10-12,0
Ampara,2012,42,2012-10-13,2012-10-19,5
Ampara,2012,43,2012-10-20,2012-10-26,0
Ampara,2012,44,2012-10-27,2012-11-02,2
Ampara,2012,45,2012-11-03,2012-11-09,2
Ampara,2012,46,2012-11-10,2012-11-16,2
Ampara,2012,47,2012-11-17,2012-11-23,6
Ampara,2012,48,2012-11-24,2012-11-30,0
Ampara,2012,49,2012-12-01,2012-12-07,15
Ampara,2012,50,2012-12-08,2012-12-14,7
Ampara,2012,51,2012-12-15,2012-12-21,0
Ampara,2012,52,2012-12-22,2012-12-28,7
Ampara,2013,1,2012-12-29,2013-01-04,8
Ampara,2013,2,2013-01-05,2013-01-11,17
Ampara,2013,3,2013-01-12,2013-01-18,16
Ampara,2013,4,2013-01-19,2013-01-25,10
Ampara,2013,5,2013-01-26,2013-02-01,3
Ampara,2013,6,2013-02-02,2013-02-08,12
