split,fold_id,model,variant,smote_applied,n_train,n_train_pos,pr_auc,roc_auc,precision,recall,f1,f2,brier_score,prevalence,n_obs_scored
validation,5,random_forest,smotenc_full_no_weight,True,7773,850,0.37596491923395864,0.9425708502024291,0.3333333333333333,0.575,0.42201834862385323,0.5021834061135371,0.047793844784683126,0.03137254901960784,1275
validation,5,random_forest,smotenc_half_no_weight,True,7773,850,0.45131062793531346,0.9337854251012145,0.5428571428571428,0.475,0.5066666666666667,0.4871794871794871,0.033353437880449976,0.03137254901960784,1275
validation,5,random_forest,smotenc_half_plus_weight,True,7773,850,0.4192471816262518,0.9390283400809717,0.32857142857142857,0.575,0.4181818181818182,0.49999999999999994,0.04906921713957632,0.03137254901960784,1275
validation,5,xgboost,baseline_class_weight,False,7773,850,0.465487577299221,0.9481983805668016,0.2857142857142857,0.75,0.4137931034482759,0.5660377358490565,0.06114879587984056,0.03137254901960784,1275
validation,5,xgboost,smotenc_full_no_weight,True,7773,850,0.4420890210850866,0.9464574898785426,0.2808988764044944,0.625,0.3875968992248062,0.5020080321285141,0.04979161055968195,0.03137254901960784,1275
validation,5,xgboost,smotenc_half_no_weight,True,7773,850,0.47325635814524314,0.9456072874493928,0.46938775510204084,0.575,0.5168539325842697,0.5502392344497608,0.03257311849402815,0.03137254901960784,1275
validation,5,xgboost,smotenc_half_plus_weight,True,7773,850,0.46543535446219597,0.9464574898785425,0.2727272727272727,0.675,0.3884892086330935,0.5212355212355212,0.05257038059622163,0.03137254901960784,1275
validation,6,random_forest,baseline_class_weight,False,9048,890,0.36663530113570936,0.8626687164521339,0.2809917355371901,0.5483870967741935,0.3715846994535519,0.4607046070460704,0.07779260194324389,0.047692307692307694,1300
validation,6,random_forest,smotenc_full_no_weight,True,9048,890,0.3523873647456041,0.865769451248111,0.26573426573426573,0.6129032258064516,0.37073170731707317,0.4859335038363172,0.0858866383012644,0.047692307692307694,1300
validation,6,random_forest,smotenc_half_no_weight,True,9048,890,0.3862273802232232,0.8543696909687842,0.30851063829787234,0.46774193548387094,0.3717948717948718,0.4239766081871345,0.06018834521004613,0.047692307692307694,1300
validation,6,random_forest,smotenc_half_plus_weight,True,9048,890,0.34650199942271137,0.8616915941424774,0.27972027972027974,0.6451612903225806,0.3902439024390244,0.5115089514066495,0.08394903440489691,0.047692307692307694,1300
validation,6,xgboost,baseline_class_weight,False,9048,890,0.38324289031687164,0.8814946062848507,0.22702702702702704,0.6774193548387096,0.340080971659919,0.48498845265588914,0.09874056281662243,0.047692307692307694,1300
validation,6,xgboost,smotenc_full_no_weight,True,9048,890,0.39774849422366654,0.8791885976340614,0.22674418604651161,0.6290322580645161,0.33333333333333337,0.4642857142857143,0.08826579648353061,0.047692307692307694,1300
validation,6,xgboost,smotenc_half_no_weight,True,9048,890,0.39972294369659533,0.8798269842097035,0.32075471698113206,0.5483870967741935,0.4047619047619047,0.48022598870056493,0.06012879820712609,0.047692307692307694,1300
validation,6,xgboost,smotenc_half_plus_weight,True,9048,890,0.4009111704326297,0.8812861535254574,0.22340425531914893,0.6774193548387096,0.3359999999999999,0.4816513761467889,0.0912497901867897,0.047692307692307694,1300
validation,7,random_forest,baseline_class_weight,False,10348,952,0.905819163780972,0.8939130434782608,0.7511961722488039,0.9101449275362319,0.8230668414154653,0.8731924360400446,0.14255187816319317,0.5307692307692308,1300
validation,7,random_forest,smotenc_full_no_weight,True,10348,952,0.8903084726658865,0.8775196008553101,0.7358053302433372,0.9202898550724637,0.8177720540888601,0.8763455699696383,0.14974308409027293,0.5307692307692308,1300
validation,7,random_forest,smotenc_half_no_weight,True,10348,952,0.9043341177955734,0.8939082917557615,0.8095238095238095,0.8623188405797102,0.8350877192982457,0.8512160228898427,0.13549758507845036,0.5307692307692308,1300
validation,7,random_forest,smotenc_half_plus_weight,True,10348,952,0.895204673288519,0.8838298883345213,0.7409988385598142,0.9246376811594202,0.8226950354609929,0.8809721071527202,0.14660770287723365,0.5307692307692308,1300
validation,7,xgboost,baseline_class_weight,False,10348,952,0.9272862040626473,0.9133143264433358,0.6975763962065332,0.9594202898550724,0.8078096400244051,0.8924238339174979,0.15804215475111316,0.5307692307692308,1300
validation,7,xgboost,smotenc_full_no_weight,True,10348,952,0.9191808080715121,0.9065336184366833,0.7234513274336283,0.9478260869565217,0.8205771643663738,0.892467248908297,0.1481788988481195,0.5307692307692308,1300
validation,7,xgboost,smotenc_half_no_weight,True,10348,952,0.9220299627005419,0.9085329056783085,0.7928388746803069,0.8985507246376812,0.842391304347826,0.8752117447769622,0.1277896079338061,0.5307692307692308,1300
validation,7,xgboost,smotenc_half_plus_weight,True,10348,952,0.9214384233562769,0.9079733903540033,0.7232635060639471,0.9507246376811594,0.8215403882279274,0.8944641396236706,0.14941243056786133,0.5307692307692308,1300
validation,8,random_forest,baseline_class_weight,False,11648,1642,0.7186588441398561,0.9800940860215054,0.39436619718309857,0.9333333333333333,0.5544554455445544,0.7329842931937173,0.06314052763062028,0.046153846153846156,1300
validation,8,random_forest,smotenc_full_no_weight,True,11648,1642,0.7185776956459593,0.981989247311828,0.3825503355704698,0.95,0.5454545454545454,0.7326478149100256,0.06232938713772716,0.046153846153846156,1300
validation,8,random_forest,smotenc_half_no_weight,True,11648,1642,0.7351980892417151,0.9818548387096775,0.4909090909090909,0.9,0.6352941176470589,0.7714285714285714,0.04267955102687807,0.046153846153846156,1300
validation,8,random_forest,smotenc_half_plus_weight,True,11648,1642,0.7256923973308752,0.9819623655913978,0.37662337662337664,0.9666666666666667,0.5420560747663552,0.7360406091370558,0.06190569695091074,0.046153846153846156,1300
validation,8,xgboost,baseline_class_weight,False,11648,1642,0.7509187134717067,0.9804301075268818,0.3373493975903614,0.9333333333333333,0.49557522123893805,0.6896551724137929,0.07210926725152624,0.046153846153846156,1300
validation,8,xgboost,smotenc_full_no_weight,True,11648,1642,0.7641930217649312,0.981989247311828,0.35443037974683544,0.9333333333333333,0.5137614678899083,0.7035175879396987,0.06187784235817658,0.046153846153846156,1300
validation,8,xgboost,smotenc_half_no_weight,True,11648,1642,0.7557668917269421,0.9818010752688172,0.4722222222222222,0.85,0.6071428571428571,0.7327586206896552,0.03919659773736076,0.046153846153846156,1300
validation,8,xgboost,smotenc_half_plus_weight,True,11648,1642,0.7627445508258245,0.9820026881720431,0.36075949367088606,0.95,0.5229357798165137,0.7160804020100502,0.06369600316911098,0.046153846153846156,1300
validation,9,random_forest,baseline_class_weight,False,12948,1702,0.8236152938792494,0.9698071625344353,0.582089552238806,0.8666666666666667,0.6964285714285713,0.7894736842105264,0.05237477847251389,0.06923076923076923,1300
validation,9,random_forest,smotenc_full_no_weight,True,12948,1702,0.8057610432131341,0.9739577594123048,0.5785714285714286,0.9,0.7043478260869566,0.8100000000000002,0.051134162738147505,0.06923076923076923,1300
validation,9,random_forest,smotenc_half_no_weight,True,12948,1702,0.8208481433995248,0.9709366391184573,0.7319587628865979,0.7888888888888889,0.7593582887700534,0.7768052516411379,0.03808532306159969,0.06923076923076923,1300
validation,9,random_forest,smotenc_half_plus_weight,True,12948,1702,0.8018991154652882,0.9730394857667586,0.5785714285714286,0.9,0.7043478260869566,0.8100000000000002,0.05241836851957563,0.06923076923076923,1300
validation,9,xgboost,baseline_class_weight,False,12948,1702,0.8229755894753227,0.9702662993572083,0.4880952380952381,0.9111111111111111,0.6356589147286822,0.7765151515151515,0.060378417255906244,0.06923076923076923,1300
validation,9,xgboost,smotenc_full_no_weight,True,12948,1702,0.8216155759172631,0.9730762167125804,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.7999999999999998,0.048695376272864216,0.06923076923076923,1300
validation,9,xgboost,smotenc_half_no_weight,True,12948,1702,0.8132549049537342,0.9725711662075297,0.7127659574468085,0.7444444444444445,0.7282608695652174,0.7378854625550662,0.0340013317687131,0.06923076923076923,1300
validation,9,xgboost,smotenc_half_plus_weight,True,12948,1702,0.8171634466447106,0.9727089072543618,0.5472972972972973,0.9,0.6806722689075629,0.797244094488189,0.05097590488144411,0.06923076923076923,1300
validation,10,random_forest,baseline_class_weight,False,14248,1792,0.679730173267746,0.9811130334486736,0.45555555555555555,0.803921568627451,0.5815602836879433,0.6972789115646258,0.04116990017235002,0.04,1275
validation,10,random_forest,smotenc_full_no_weight,True,14248,1792,0.6933587395779193,0.9830674099705241,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.7142857142857143,0.03757374902770895,0.04,1275
validation,10,random_forest,smotenc_half_no_weight,True,14248,1792,0.737853540407654,0.984605280020505,0.5538461538461539,0.7058823529411765,0.6206896551724139,0.6691449814126395,0.026966349698819433,0.04,1275
validation,10,random_forest,smotenc_half_plus_weight,True,14248,1792,0.7163171553652307,0.9832756632064591,0.4631578947368421,0.8627450980392157,0.6027397260273972,0.7357859531772576,0.03921205369146863,0.04,1275
validation,10,xgboost,baseline_class_weight,False,14248,1792,0.7630637650669367,0.983435858003332,0.39655172413793105,0.9019607843137255,0.5508982035928145,0.71875,0.04880060486386015,0.04,1275
validation,10,xgboost,smotenc_full_no_weight,True,14248,1792,0.7705135442267762,0.9841086761501987,0.4444444444444444,0.8627450980392157,0.5866666666666667,0.7260726072607262,0.03903879405942485,0.04,1275
validation,10,xgboost,smotenc_half_no_weight,True,14248,1792,0.7699691624505094,0.9841246956298859,0.5507246376811594,0.7450980392156863,0.6333333333333334,0.6959706959706958,0.026966493365812926,0.04,1275
validation,10,xgboost,smotenc_half_plus_weight,True,14248,1792,0.7685394146356513,0.9839004229142637,0.41284403669724773,0.8823529411764706,0.5625,0.7188498402555911,0.042353864582169345,0.04,1275
validation,11,random_forest,baseline_class_weight,False,15523,1843,0.3766372439097998,0.8369464802611319,0.2564102564102564,0.38461538461538464,0.3076923076923077,0.34965034965034963,0.03188241772196205,0.0203921568627451,1275
validation,11,random_forest,smotenc_full_no_weight,True,15523,1843,0.35637515964148614,0.773541910451438,0.2631578947368421,0.38461538461538464,0.3125,0.35211267605633806,0.029552087214586378,0.0203921568627451,1275
validation,11,random_forest,smotenc_half_no_weight,True,15523,1843,0.31098669266343226,0.777391143684178,0.3333333333333333,0.34615384615384615,0.33962264150943394,0.3435114503816794,0.024892982961942988,0.0203921568627451,1275
validation,11,random_forest,smotenc_half_plus_weight,True,15523,1843,0.3140902694978238,0.8168996735850218,0.25,0.38461538461538464,0.30303030303030304,0.34722222222222227,0.029845175222694396,0.0203921568627451,1275
validation,11,xgboost,baseline_class_weight,False,15523,1843,0.2954417089711751,0.7320933670012933,0.2127659574468085,0.38461538461538464,0.273972602739726,0.3311258278145695,0.038079730490595994,0.0203921568627451,1275
validation,11,xgboost,smotenc_full_no_weight,True,15523,1843,0.28215507256922173,0.7361581572950668,0.2222222222222222,0.38461538461538464,0.2816901408450704,0.3355704697986578,0.030208023008969388,0.0203921568627451,1275
validation,11,xgboost,smotenc_half_no_weight,True,15523,1843,0.27661422440666716,0.6999291741085176,0.3,0.34615384615384615,0.32142857142857145,0.33582089552238803,0.02389417498676251,0.0203921568627451,1275
validation,11,xgboost,smotenc_half_plus_weight,True,15523,1843,0.28056894931195353,0.7160959536860257,0.21739130434782608,0.38461538461538464,0.27777777777777773,0.3333333333333333,0.0319442707166709,0.0203921568627451,1275
validation,12,random_forest,baseline_class_weight,False,16798,1869,0.22237101418155475,0.9558707643814027,0.1875,0.5,0.2727272727272727,0.375,0.025343876112388815,0.004705882352941176,1275
