architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
platt,4,validation,0.5656629338208174,0.9197010277172222,0.96,0.6857142857142857,0.36923076923076925,0.9910931174089069,0.48,0.03168871791463242,0.3328690965340544,0.05,1300,1300,True
stacked_xgboost,4,validation,0.2987481450040798,0.8598691996262846,0.9361538461538461,0.3269230769230769,0.26153846153846155,0.97165991902834,0.2905982905982906,0.04766040751224355,-0.0033770002577588887,0.05,1300,1300,False
logit_residual,4,validation,0.32483805207278144,0.7602117720336343,0.9507692307692308,0.5555555555555556,0.07692307692307693,0.9967611336032388,0.13513513513513514,0.04860679596778545,-0.02330096774285151,0.05,1300,1300,False
stage1_raw,5,validation,0.4864350253494767,0.9454251012145749,0.9529411764705882,0.3717948717948718,0.725,0.9603238866396762,0.49152542372881347,0.044848988619423276,-0.475863099685222,0.03137254901960784,1275,1300,False
isotonic,5,validation,0.46800289040662113,0.9330769230769231,0.9694117647058823,0.5454545454545454,0.15,0.9959514170040485,0.2352941176470588,0.020372341258902704,0.32959944819830556,0.03137254901960784,1275,1300,False
platt,5,validation,0.4864350253494767,0.9454251012145749,0.9701960784313726,0.5555555555555556,0.25,0.9935222672064777,0.3448275862068966,0.020414081670879415,0.3282258802383937,0.03137254901960784,1275,1300,True
stacked_xgboost,5,validation,0.43830250142798427,0.9131578947368421,0.9513725490196079,0.35135135135135137,0.65,0.9611336032388664,0.456140350877193,0.0365101267183732,-0.2014529300922152,0.03137254901960784,1275,1300,False
logit_residual,5,validation,0.5110963200575542,0.895587044534413,0.9733333333333334,0.75,0.225,0.9975708502024292,0.3461538461538462,0.025303734858130658,0.1673201623735091,0.03137254901960784,1275,1300,False
stage1_raw,6,validation,0.4140101077621727,0.8816639741518578,0.91,0.2962962962962963,0.6451612903225806,0.9232633279483037,0.40609137055837563,0.07422366214951227,-0.6342434341637884,0.047692307692307694,1300,1300,False
isotonic,6,validation,0.37911093627873826,0.8772734379071344,0.953076923076923,0.5151515151515151,0.27419354838709675,0.9870759289176091,0.35789473684210527,0.037906026982636724,0.1653918182206464,0.047692307692307694,1300,1300,False
platt,6,validation,0.4140101077621727,0.8816639741518578,0.9476923076923077,0.42857142857142855,0.2903225806451613,0.9806138933764136,0.34615384615384615,0.03819046846680408,0.15912903605061635,0.047692307692307694,1300,1300,True
stacked_xgboost,6,validation,0.20551439741978839,0.8325472927197874,0.9230769230769231,0.2564102564102564,0.3225806451612903,0.9531502423263328,0.2857142857142857,0.06445841218981713,-0.4192338918233225,0.047692307692307694,1300,1300,False
logit_residual,6,validation,0.2784691455864528,0.7680051070926053,0.946923076923077,0.29411764705882354,0.08064516129032258,0.9903069466882067,0.12658227848101267,0.05046746164368231,-0.11118362314116292,0.047692307692307694,1300,1300,False
stage1_raw,7,validation,0.9046429782797893,0.8935376574008078,0.7961538461538461,0.7445339470655926,0.9376811594202898,0.6360655737704918,0.8300192431045541,0.14339822316417067,0.42422666394048847,0.5307692307692308,1300,1300,False
isotonic,7,validation,0.8898834803439725,0.8917747683535282,0.6892307692307692,0.9359756097560976,0.4449275362318841,0.9655737704918033,0.6031434184675836,0.16882643380605558,0.32212717241094335,0.5307692307692308,1300,1300,False
platt,7,validation,0.9046429782797893,0.8935376574008078,0.7653846153846153,0.8936605316973415,0.6333333333333333,0.9147540983606557,0.7413061916878712,0.16089743163192993,0.35396374564513755,0.5307692307692308,1300,1300,True
stacked_xgboost,7,validation,0.7813175256571094,0.7859610358755049,0.6730769230769231,0.7837259100642399,0.5304347826086957,0.8344262295081967,0.6326707000864303,0.24194099180842984,0.028557196112505512,0.5307692307692308,1300,1300,False
logit_residual,7,validation,0.8612738675056414,0.8542813019719648,0.5761538461538461,0.8756756756756757,0.23478260869565218,0.9622950819672131,0.3702857142857143,0.40329345605046296,-0.619306107686582,0.5307692307692308,1300,1300,False
stage1_raw,8,validation,0.7680030569356703,0.9828360215053764,0.9215384615384615,0.36538461538461536,0.95,0.9201612903225806,0.5277777777777778,0.05857074652409831,-0.33043765625975996,0.046153846153846156,1300,1300,False
isotonic,8,validation,0.7256910999856908,0.9818548387096774,0.9546153846153846,0.5051546391752577,0.8166666666666667,0.9612903225806452,0.6242038216560509,0.028145366881073934,0.36067647810463777,0.046153846153846156,1300,1300,False
platt,8,validation,0.7680030569356703,0.9828360215053764,0.9615384615384616,0.5568181818181818,0.8166666666666667,0.9685483870967742,0.6621621621621621,0.027721284954676215,0.3703095218628655,0.046153846153846156,1300,1300,True
stacked_xgboost,8,validation,0.7326671221658629,0.9807123655913978,0.9284615384615384,0.38620689655172413,0.9333333333333333,0.9282258064516129,0.5463414634146341,0.050802507941290244,-0.15398169920403904,0.046153846153846156,1300,1300,False
logit_residual,8,validation,0.6837933977039895,0.9372177419354839,0.96,0.5476190476190477,0.7666666666666667,0.9693548387096774,0.6388888888888888,0.03721465187213591,0.1546671819366977,0.046153846153846156,1300,1300,False
stage1_raw,9,validation,0.8312371488062407,0.973186409550046,0.9523076923076923,0.6060606060606061,0.8888888888888888,0.9570247933884297,0.7207207207207208,0.04439761935391453,0.3110011321568821,0.06923076923076923,1300,1300,False
isotonic,9,validation,0.8168266393747544,0.9736088154269973,0.963076923076923,0.7386363636363636,0.7222222222222222,0.9809917355371901,0.7303370786516853,0.024991155850986626,0.6121666355540184,0.06923076923076923,1300,1300,False
platt,9,validation,0.8312371488062407,0.973186409550046,0.9653846153846154,0.7777777777777778,0.7,0.9851239669421488,0.7368421052631577,0.02444759183705099,0.6206021101504484,0.06923076923076923,1300,1300,True
