District,n_rows,n_defined,outbreak_pct,candidate,parameter,k,pooled_outbreak_pct,pooled_n_defined,pooled_n_undefined,pooled_pct_undefined
Mannar,1018.0,862.0,12.412993039443156,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Matale,1018.0,862.0,11.252900232018561,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Matara,1018.0,862.0,15.4292343387471,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Monaragala,1018.0,862.0,16.125290023201856,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Mullaitivu,1018.0,861.0,18.35075493612079,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Nuwara Eliya,1018.0,862.0,13.225058004640372,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Polonnaruwa,1018.0,862.0,15.081206496519723,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Puttalam,1018.0,862.0,11.948955916473318,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Ratnapura,1018.0,862.0,18.90951276102088,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Trincomalee,1018.0,862.0,18.213457076566126,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Vavuniya,1018.0,862.0,11.600928074245939,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Ampara,1018.0,862.0,11.36890951276102,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Anuradhapura,1018.0,862.0,8.932714617169374,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Badulla,1018.0,862.0,15.19721577726218,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Batticaloa,1018.0,862.0,15.893271461716937,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Colombo,1018.0,862.0,15.31322505800464,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Galle,1018.0,862.0,18.097447795823665,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Gampaha,1018.0,862.0,12.877030162412991,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Hambantota,1018.0,862.0,11.832946635730858,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Jaffna,1018.0,862.0,18.90951276102088,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Kalutara,1018.0,862.0,17.16937354988399,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
Kandy,1018.0,862.0,13.225058004640372,windowed,2,2.5,13.221644700204196,21548,3902,15.332023575638507
