threshold,precision,recall,f1,f2,f0_5,accuracy
0.18000000000000002,0.5634395670475045,0.8056749785038693,0.6631280962491154,0.7418844022169437,0.599488163787588,0.9385806451612904
0.19,0.5679611650485437,0.8048151332760103,0.6659551760939167,0.7428571428571428,0.6034816247582204,0.9394193548387096
0.2,0.578125,0.7953568357695615,0.6695620702135361,0.7397632757517595,0.6115298162104985,0.9410967741935484
0.21000000000000002,0.5980392156862745,0.7867583834909716,0.6795395469736353,0.7400517631834357,0.6281752025264313,0.9443225806451613
0.22,0.6023936170212766,0.7790197764402408,0.6794150731158605,0.7358674463937621,0.6310071040534893,0.9448387096774193
0.23,0.6138472519628837,0.7394668959587274,0.6708268330733229,0.7103915413844375,0.6354366779961579,0.9455483870967742
0.24000000000000002,0.6173725771715721,0.7394668959587274,0.6729264475743348,0.7113316790736146,0.6384558277654047,0.9460645161290323
0.25,0.6233671988388969,0.7386070507308684,0.676111767020858,0.7122719734660032,0.6434456928838951,0.9469032258064516
0.26,0.634703196347032,0.7171109200343938,0.6733952361727896,0.6989607777405296,0.6496338993612711,0.9478064516129032
0.27,0.6397228637413395,0.7145313843508169,0.6750609260763607,0.6982019828600236,0.6534046233684542,0.9483870967741935
0.28,0.6407093292212799,0.7145313843508169,0.675609756097561,0.6984367120524457,0.6542276806802078,0.948516129032258
0.29000000000000004,0.6683250414593698,0.6930352536543423,0.680455888560574,0.6879481051553432,0.6731251043928512,0.9511612903225807
0.3,0.6739312657166806,0.6913155631986242,0.6825127334465195,0.6877673224978614,0.6773378264532435,0.951741935483871
0.31,0.6822510822510822,0.6775580395528805,0.6798964624676446,0.678491475805063,0.681307279958499,0.9521290322580646
0.32,0.6910211267605634,0.6749785038693035,0.6829056111352761,0.6781271596406357,0.6877518836516558,0.9529677419354838
0.33,0.6980286738351255,0.6698194325021496,0.6836331724440544,0.6752773925104022,0.6921983294828505,0.9534838709677419
0.34,0.7007233273056058,0.6663800515907137,0.6831203173204056,0.6729767280305662,0.6935743690710579,0.9536129032258065
0.35000000000000003,0.7112546125461254,0.6629406706792778,0.6862483311081442,0.6720711297071129,0.7010365521003818,0.954516129032258
0.36000000000000004,0.7132146204311153,0.6543422184006878,0.6825112107623319,0.6653261059625808,0.7006076229055422,0.9543225806451613
0.37,0.7104984093319194,0.5760963026655203,0.6362773029439697,0.5987488829311886,0.6788247213779129,0.9505806451612904
0.38,0.7101910828025477,0.5752364574376613,0.6356294536817103,0.5979621022524134,0.6783613871425676,0.950516129032258
0.39,0.7101910828025477,0.5752364574376613,0.6356294536817103,0.5979621022524134,0.6783613871425676,0.950516129032258
0.4,0.7109458023379384,0.5752364574376613,0.6359315589353612,0.5980690148399787,0.67891211690684,0.9505806451612904
0.41000000000000003,0.7184466019417476,0.5726569217540842,0.6373205741626795,0.5968811614984764,0.6836378567029356,0.9510967741935484
0.42000000000000004,0.7184466019417476,0.5726569217540842,0.6373205741626795,0.5968811614984764,0.6836378567029356,0.9510967741935484
0.43,0.7324414715719063,0.5649183147033534,0.6378640776699028,0.5919985582987926,0.6914333824458009,0.9518709677419355
0.44,0.7332589285714286,0.5649183147033534,0.6381738708110734,0.5921052631578948,0.6920160101116495,0.9519354838709677
0.45,0.7305764411027569,0.5012897678417885,0.5945945945945945,0.534862385321101,0.669345579793341,0.9487096774193549
0.46,0.7314930991217063,0.5012897678417885,0.5948979591836735,0.5349605432189393,0.6699609285221788,0.9487741935483871
0.47000000000000003,0.7311557788944724,0.5004299226139295,0.5941807044410413,0.5341409691629956,0.6694271911663215,0.9487096774193549
0.48000000000000004,0.7311557788944724,0.5004299226139295,0.5941807044410413,0.5341409691629956,0.6694271911663215,0.9487096774193549
0.49,0.706645056726094,0.3748925193465176,0.4898876404494382,0.4137407477699753,0.600385568713853,0.9414193548387096
