model,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,prevalence,n_obs_scored,n_obs_total,selected
random_forest,11,validation,0.3766372439097998,0.8369464802611319,0.9647058823529412,0.2564102564102564,0.38461538461538464,0.9767814251401121,0.3076923076923077,0.03188241772196205,0.0203921568627451,1275,1300,True
xgboost,11,validation,0.29763589928291534,0.6843628749153169,0.9584313725490196,0.2127659574468085,0.38461538461538464,0.9703763010408326,0.273972602739726,0.03839000660147236,0.0203921568627451,1275,1300,False
logistic_regression,12,validation,0.10438960855424609,0.8769372209088522,0.984313725490196,0.15,0.5,0.9866036249014972,0.23076923076923075,0.02650551458820021,0.004705882352941176,1275,1300,False
random_forest,12,validation,0.22237101418155475,0.9558707643814027,0.9874509803921568,0.1875,0.5,0.9897557131599685,0.2727272727272727,0.025343876112388815,0.004705882352941176,1275,1300,True
xgboost,12,validation,0.1530585123230408,0.8886262148673496,0.9866666666666667,0.17647058823529413,0.5,0.9889676910953507,0.2608695652173913,0.026680258234201143,0.004705882352941176,1275,1300,False
logistic_regression,13,validation,0.06585149073003493,0.7925091150149155,0.9753846153846154,0.06896551724137931,0.2857142857142857,0.9791183294663574,0.1111111111111111,0.04040068017330162,0.005384615384615384,1300,1300,False
random_forest,13,validation,0.12973034509985426,0.8721688211247376,0.9761538461538461,0.1,0.42857142857142855,0.9791183294663574,0.16216216216216217,0.03399277899915994,0.005384615384615384,1300,1300,True
xgboost,13,validation,0.15174482584851962,0.9152579825433654,0.9653846153846154,0.06818181818181818,0.42857142857142855,0.9682907965970611,0.1176470588235294,0.040074868994250175,0.005384615384615384,1300,1300,False
logistic_regression,validation_aggregate,validation,0.3580362910211051,0.8769372209088522,0.9443137254901961,0.25217391304347825,0.6428571428571429,0.9468954248366013,0.3564356435643564,0.05949038824657398,0.03137254901960784,16800,16900,False
random_forest,validation_aggregate,validation,0.3766372439097998,0.9012241689128482,0.9537254901960784,0.36666666666666664,0.5483870967741935,0.9599673202614379,0.43999999999999995,0.04702646275521279,0.03137254901960784,16800,16900,True
xgboost,validation_aggregate,validation,0.3725935727159036,0.9135447849845569,0.9325490196078431,0.2830188679245283,0.7230769230769231,0.9384615384615385,0.40579710144927533,0.05772230633364083,0.03137254901960784,16800,16900,False
logistic_regression,holdout,holdout,0.2346438344383191,0.83462890625,0.9715384615384616,0.27631578947368424,0.525,0.978515625,0.36206896551724144,0.03911082200594745,0.015384615384615385,2600,2600,False
random_forest,holdout,holdout,0.42921049580689774,0.885283203125,0.98,0.39285714285714285,0.55,0.98671875,0.45833333333333337,0.027333971824462875,0.015384615384615385,2600,2600,True
xgboost,holdout,holdout,0.42393513727736226,0.8955371093750001,0.9730769230769231,0.3076923076923077,0.6,0.97890625,0.4067796610169492,0.03160867122095047,0.015384615384615385,2600,2600,False
