District,Year,Week,Week_Start_Date,horizon_step,sarima_prediction,predicted_residual,final_prediction,feature_completeness_pct,residual_lag_1_is_recursive,residual_lag_2_is_recursive,n_sarima_vintages,evidence_tier
Ratnapura,2026,30,2026-07-20,5,252.46669042662435,173.0007781982422,425.5,57.1,True,True,1,operational_forecast
Ratnapura,2026,31,2026-07-27,6,252.46489094944724,162.4866180419922,415.0,54.3,True,True,1,operational_forecast
Ratnapura,2026,32,2026-08-03,7,252.46598529216215,147.4716033935547,399.9,51.4,True,True,1,operational_forecast
Ratnapura,2026,33,2026-08-10,8,252.46565823331218,130.3878631591797,382.9,48.6,True,True,1,operational_forecast
Trincomalee,2026,26,2026-06-22,1,34.28781991368649,15.461681365966797,49.7,88.6,False,False,1,operational_nowcast
Trincomalee,2026,27,2026-06-29,2,34.112898983055075,10.94806957244873,45.1,82.9,True,False,1,operational_forecast
Trincomalee,2026,28,2026-07-06,3,34.112898983055075,5.823247909545898,39.9,74.3,True,True,1,operational_forecast
Trincomalee,2026,29,2026-07-13,4,34.112898983055075,3.911278486251831,38.0,65.7,True,True,1,operational_forecast
Trincomalee,2026,30,2026-07-20,5,34.112898983055075,2.7412610054016113,36.9,57.1,True,True,1,operational_forecast
Trincomalee,2026,31,2026-07-27,6,34.112898983055075,-3.466576099395752,30.6,54.3,True,True,1,operational_forecast
Trincomalee,2026,32,2026-08-03,7,34.112898983055075,-5.014726638793945,29.1,51.4,True,True,1,operational_forecast
Trincomalee,2026,33,2026-08-10,8,34.112898983055075,-11.004549980163574,23.1,48.6,True,True,1,operational_forecast
Vavuniya,2026,26,2026-06-22,1,28.729427902438296,9.518431663513184,38.2,85.7,False,False,1,operational_nowcast
Vavuniya,2026,27,2026-06-29,2,18.307415825628357,4.852936744689941,23.2,80.0,True,False,1,operational_forecast
Vavuniya,2026,28,2026-07-06,3,14.56537335901075,0.3888293206691742,15.0,71.4,True,True,1,operational_forecast
Vavuniya,2026,29,2026-07-13,4,11.588205736300226,1.2835395336151123,12.9,62.9,True,True,1,operational_forecast
Vavuniya,2026,30,2026-07-20,5,9.21957226065518,1.0206401348114014,10.2,54.3,True,True,1,operational_forecast
Vavuniya,2026,31,2026-07-27,6,7.335088330644417,-1.5426256656646729,5.8,51.4,True,True,1,operational_forecast
Vavuniya,2026,32,2026-08-03,7,5.835793602699351,-1.8995733261108398,3.9,48.6,True,True,1,operational_forecast
Vavuniya,2026,33,2026-08-10,8,4.64295526354141,-4.981379508972168,0.0,45.7,True,True,1,operational_forecast
