District,origin_Year,origin_Week,feat__cases_lag_1,feat__cases_lag_2,feat__cases_lag_3,feat__cases_lag_4,feat__rolling_mean_cases_4w,feat__rolling_std_cases_4w,feat__rate_of_change,feat__rainfall_lag_2,feat__rainfall_lag_3,feat__rainfall_lag_4,feat__rainfall_lag_5,feat__rainfall_lag_6,feat__rainfall_lag_7,feat__rainfall_lag_8,feat__temperature_lag_1,feat__temperature_lag_2,feat__temperature_lag_3,feat__temperature_lag_4,feat__humidity_lag_1,feat__humidity_lag_2,feat__humidity_lag_3,feat__humidity_lag_4,feat__sin_week,feat__cos_week,feat__monsoon_indicator_SW,feat__monsoon_indicator_NE,feat__weeks_since_reporting_anomaly,feat__reporting_rebound_ratio_lag1,feat__suspected_backfill_week,feat__rainfall_anomaly,feat__temperature_anomaly,feat__humidity_anomaly,feat__residual_lag_1,feat__residual_lag_2,sarima_h2,actual_h2,target_Year_h2,target_Week_h2,is_imputed_h2,stage2_target_h2,final_prediction_recursive_h2,sarima_h3,actual_h3,target_Year_h3,target_Week_h3,is_imputed_h3,stage2_target_h3,final_prediction_recursive_h3,sarima_h4,actual_h4,target_Year_h4,target_Week_h4,is_imputed_h4,stage2_target_h4,final_prediction_recursive_h4
Vavuniya,2017,4,15.0,3.0,27.0,0.0,11.25,12.338962679253134,12.0,0.0,2.7,15.1,2.8,5.6,55.9,58.5,24.17142857142857,23.785714285714285,24.571428571428573,24.514285714285712,72.28571428571429,71.85714285714286,78.14285714285714,82.85714285714286,0.4647231720437685,0.8854560256532099,0,1,,,0,122.52,-0.3428571428571452,13.52857142857144,7.677588796566116,-14.624657862613564,7.01429716751842,18.0,2017,5,False,10.98570283248158,8.7,5.037623791965197,10.0,2017,6,False,4.962376208034803,6.3,3.6179894953541223,23.0,2017,7,False,19.382010504645876,5.7
Vavuniya,2017,5,12.0,15.0,3.0,27.0,14.25,9.912113800799588,-3.0,10.7,0.0,2.7,15.1,2.8,5.6,55.9,23.928571428571427,24.17142857142857,23.785714285714285,24.571428571428573,91.42857142857144,72.28571428571429,71.85714285714286,78.14285714285714,0.5680647467311558,0.8229838658936564,0,1,,,0,-13.860000000000003,-0.38714285714286234,1.971428571428575,3.958609412194674,7.677588796566116,7.591753884484082,10.0,2017,6,False,2.408246115515918,10.9,5.460394146838906,23.0,2017,7,False,17.539605853161092,8.1,3.9274065904283204,15.0,2017,8,False,11.07259340957168,7.2
Vavuniya,2017,6,18.0,12.0,15.0,3.0,12.0,6.480740698407989,6.0,126.0,10.7,0.0,2.7,15.1,2.8,5.6,24.15714285714285,23.928571428571427,24.17142857142857,23.785714285714285,81.57142857142857,91.42857142857144,72.28571428571429,71.85714285714286,0.6631226582407952,0.7485107481711011,0,1,,,0,-16.97,-1.2614285714285707,-5.800000000000011,8.32985735055299,3.958609412194674,10.832641563866785,23.0,2017,7,False,12.167358436133215,15.1,7.79674943167992,15.0,2017,8,False,7.20325056832008,10.4,5.61167849429904,27.0,2017,9,False,21.388321505700958,8.6
Vavuniya,2017,7,10.0,18.0,12.0,15.0,13.75,3.5000000000002385,-8.0,17.099999999999998,126.0,10.7,0.0,2.7,15.1,2.8,23.37142857142857,24.15714285714285,23.928571428571427,24.17142857142857,73.14285714285714,81.57142857142857,91.42857142857144,72.28571428571429,0.7485107481711011,0.6631226582407953,0,1,,,0,-4.53,-0.5542857142857152,-2.357142857142861,-3.180379746405631,8.32985735055299,5.745281883596098,15.0,2017,8,False,9.254718116403902,6.0,4.134081960375208,27.0,2017,9,False,22.86591803962479,5.9,2.974725000682181,22.0,2017,10,False,19.02527499931782,5.6
Vavuniya,2017,8,23.0,10.0,18.0,12.0,15.75,5.9090326337454195,13.0,0.0,17.099999999999998,126.0,10.7,0.0,2.7,15.1,24.642857142857142,23.37142857142857,24.15714285714285,23.928571428571427,76.0,73.14285714285714,81.57142857142857,91.42857142857144,0.8229838658936564,0.5680647467311559,0,1,,,0,-4.31,0.14000000000000057,2.171428571428578,14.301923097379852,-3.180379746405631,13.364653382942628,27.0,2017,9,False,13.635346617057372,20.0,9.62907232816988,22.0,2017,10,False,12.37092767183012,14.5,6.937631021502186,34.0,2017,11,False,27.062368978497815,10.9
Vavuniya,2017,9,15.0,23.0,10.0,18.0,16.5,5.446711546122883,-8.0,7.2,0.0,17.099999999999998,126.0,10.7,0.0,2.7,25.7,24.642857142857142,23.37142857142857,24.15714285714285,77.14285714285714,76.0,73.14285714285714,81.57142857142857,0.8854560256532099,0.4647231720437686,0,0,,,0,18.889999999999997,-0.41999999999999815,5.628571428571433,-0.33374323268014017,14.301923097379852,9.413256435581962,22.0,2017,10,False,12.586743564418038,11.1,6.781578579720734,34.0,2017,11,False,27.218421420279267,8.9,4.885642747294797,31.0,2017,12,False,26.114357252705204,7.8
Vavuniya,2017,10,27.0,15.0,23.0,10.0,18.75,7.675719293113079,12.0,0.4,7.2,0.0,17.099999999999998,126.0,10.7,0.0,25.428571428571427,25.7,24.642857142857142,23.37142857142857,82.42857142857143,77.14285714285714,76.0,73.14285714285714,0.9350162426854148,0.35460488704253557,0,0,,,0,44.559999999999995,-0.3785714285714299,10.028571428571425,13.85892587263465,-0.33374323268014017,15.752996644389786,34.0,2017,11,False,18.247003355610214,22.2,11.356693094762305,31.0,2017,12,False,19.643306905237694,16.0,8.187298008125603,29.0,2017,13,False,20.8127019918744,12.6
Vavuniya,2017,11,22.0,27.0,15.0,23.0,21.75,4.991659710624146,-5.0,32.3,0.4,7.2,0.0,17.099999999999998,126.0,10.7,26.27142857142857,25.428571428571427,25.7,24.642857142857142,84.42857142857143,82.42857142857143,77.14285714285714,76.0,0.970941817426052,0.23931566428755804,0,0,,,0,6.890000000000001,-0.3514285714285741,7.257142857142853,3.292810074321192,13.85892587263465,13.496859321451684,31.0,2017,12,False,17.503140678548316,19.5,9.73756116208918,29.0,2017,13,False,19.26243883791082,14.2,7.025345313833279,29.0,2017,14,False,21.974654686166723,11.1
Vavuniya,2017,12,34.0,22.0,27.0,15.0,24.5,8.020806277010747,12.0,52.4,32.3,0.4,7.2,0.0,17.099999999999998,126.0,26.142857142857142,26.27142857142857,25.428571428571427,25.7,84.14285714285714,84.42857142857143,82.42857142857143,77.14285714285714,0.992708874098054,0.120536680255323,0,0,,,0,-15.469999999999999,-0.2699999999999996,1.5428571428571445,16.035592573060057,3.292810074321192,20.184269477757354,29.0,2017,13,False,8.815730522242646,27.8,14.592984368199748,29.0,2017,14,False,14.407015631800252,19.4,10.55055239949082,24.0,2017,15,False,13.44944760050918,16.3
Vavuniya,2017,13,31.0,34.0,22.0,27.0,28.5,5.196152422706792,-3.0,30.9,52.4,32.3,0.4,7.2,0.0,17.099999999999998,26.9,26.142857142857142,26.27142857142857,25.428571428571427,75.71428571428571,84.14285714285714,84.42857142857143,82.42857142857143,1.0,-1.6081226496766366e-16,0,0,,,0,1.9800000000000004,-1.032857142857143,2.7428571428571473,6.714140111110638,16.035592573060057,18.991711496050808,29.0,2017,14,False,10.008288503949192,25.6,13.756613894626451,24.0,2017,15,False,10.243386105373549,20.5,9.964579858175583,21.0,2017,16,False,11.035420141824417,16.0
Vavuniya,2017,14,29.0,31.0,34.0,22.0,29.0,5.099019513592948,-2.0,0.2,30.9,52.4,32.3,0.4,7.2,0.0,26.714285714285715,26.9,26.142857142857142,26.27142857142857,75.42857142857143,75.71428571428571,84.14285714285714,84.42857142857143,0.992708874098054,-0.12053668025532288,0,0,,,0,-1.3099999999999987,0.5557142857142914,-1.8428571428571416,4.286425397490362,6.714140111110638,16.5641996468845,24.0,2017,15,False,7.4358003531155,21.9,12.007836396821341,21.0,2017,16,False,8.992163603178659,15.8,8.70480542414539,9.0,2017,17,False,0.2951945758546106,12.5
Vavuniya,2017,15,29.0,29.0,31.0,34.0,30.75,2.3629078131266565,0.0,12.1,0.2,30.9,52.4,32.3,0.4,7.2,28.61428571428572,26.714285714285715,26.9,26.142857142857142,72.42857142857143,75.42857142857143,75.71428571428571,84.14285714285714,0.9709418174260521,-0.2393156642875575,0,0,,,0,-25.839999999999996,1.1557142857142821,-5.585714285714289,7.112574173477444,4.286425397490362,16.68205685149401,21.0,2017,16,False,4.317943148505989,22.0,12.120267692562804,9.0,2017,17,False,-3.1202676925628037,16.1,8.805921850471666,18.0,2017,18,False,9.194078149528334,11.7
Vavuniya,2017,16,24.0,29.0,29.0,31.0,28.25,2.9860788111950987,-5.0,10.9,12.1,0.2,30.9,52.4,32.3,0.4,28.957142857142856,28.61428571428572,26.714285714285715,26.9,72.14285714285714,72.42857142857143,75.42857142857143,75.71428571428571,0.9350162426854148,-0.35460488704253545,0,0,,,0,-27.599999999999998,2.197142857142861,-11.842857142857142,2.622360230830399,7.112574173477444,13.842883374459554,9.0,2017,17,False,-4.842883374459554,17.7,10.066191087419758,18.0,2017,18,False,7.933808912580242,12.7,7.319876955360464,15.0,2017,19,False,7.680123044639536,9.2
Vavuniya,2017,17,21.0,24.0,29.0,29.0,25.75,3.9475730941092144,-3.0,10.0,10.9,12.1,0.2,30.9,52.4,32.3,30.071428571428573,28.957142857142856,28.61428571428572,26.714285714285715,66.42857142857143,72.14285714285714,72.42857142857143,75.42857142857143,0.8854560256532099,-0.4647231720437685,0,0,,,0,-28.15,2.4791071428571385,-13.512500000000003,2.5447551030566977,2.622360230830399,11.733252256589651,18.0,2017,18,False,6.266747743410349,13.8,8.537155004313925,15.0,2017,19,False,6.4628449956860745,10.1,6.21166356725601,17.0,2017,20,False,10.78833643274399,7.1
Vavuniya,2017,18,9.0,21.0,24.0,29.0,20.75,8.500000000000098,-12.0,0.1,10.0,10.9,12.1,0.2,30.9,52.4,30.4,30.071428571428573,28.957142857142856,28.61428571428572,65.57142857142857,66.42857142857143,72.14285714285714,72.42857142857143,0.8229838658936565,-0.5680647467311557,0,0,,,0,-10.63,1.491428571428571,-11.042857142857144,-6.561769525730593,2.5447551030566977,4.241883375836671,15.0,2017,19,False,10.758116624163328,2.6,3.0813585452815437,17.0,2017,20,False,13.918641454718456,3.0,2.238338408515731,15.0,2017,21,False,12.76166159148427,2.9
