District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2013,37,2013-09-07,2013-09-13,0,30.9,30.9,81.14285714285714,91.42857142857144,66.0,29.4,24.11428571428572,28.87142857142857,32.642857142857146,27.0,26.02857142857143,53.0,172131,interpolated,104.0
Vavuniya,2013,38,2013-09-14,2013-09-20,0,6.1,6.1,74.85714285714286,86.0,55.85714285714285,31.071428571428573,25.071428571428573,29.27142857142857,32.94285714285714,27.428571428571427,27.3,51.0,172131,interpolated,104.0
Vavuniya,2013,39,2013-09-21,2013-09-27,2,0.2,0.2,67.57142857142857,86.28571428571429,43.57142857142857,33.857142857142854,25.071428571428573,31.071428571428573,36.471428571428575,27.942857142857143,28.6,3.0,172131,interpolated,104.0
Vavuniya,2013,40,2013-09-28,2013-10-04,0,0.2,0.2,65.28571428571429,84.0,39.0,34.05714285714286,25.32857142857143,30.61428571428572,35.55714285714286,27.985714285714288,28.74285714285714,3.0,172131,interpolated,104.0
Vavuniya,2013,41,2013-10-05,2013-10-11,1,2.2,2.2,65.0,84.42857142857143,38.142857142857146,34.114285714285714,25.071428571428573,30.47142857142857,35.58571428571428,27.82857142857143,28.62857142857143,51.0,172131,interpolated,104.0
Vavuniya,2013,42,2013-10-12,2013-10-18,1,37.9,37.9,70.85714285714286,88.85714285714286,44.42857142857143,33.91428571428572,24.885714285714283,31.52857142857143,37.54285714285714,28.571428571428573,28.27142857142857,51.0,172131,interpolated,104.0
Vavuniya,2013,43,2013-10-19,2013-10-25,1,35.4,35.4,82.42857142857143,92.57142857142856,65.85714285714286,29.485714285714288,23.885714285714283,29.47142857142857,33.24285714285714,27.385714285714283,26.042857142857144,3.0,172131,interpolated,104.0
Vavuniya,2013,44,2013-10-26,2013-11-01,0,12.6,12.6,76.57142857142857,94.0,53.42857142857143,31.61428571428572,23.8,30.957142857142856,35.74285714285715,27.942857142857143,27.042857142857144,51.0,172131,interpolated,104.0
Vavuniya,2013,45,2013-11-02,2013-11-08,0,20.8,20.8,84.57142857142857,95.42857142857144,68.71428571428571,29.228571428571428,23.32857142857143,29.642857142857142,33.48571428571429,27.47142857142857,25.714285714285715,53.0,172131,interpolated,104.0
Vavuniya,2013,46,2013-11-09,2013-11-15,0,25.4,25.4,80.14285714285714,94.0,61.42857142857143,29.457142857142856,22.842857142857145,28.985714285714288,32.75714285714286,26.485714285714288,25.61428571428572,3.0,172131,interpolated,104.0
Vavuniya,2013,47,2013-11-16,2013-11-22,1,14.6,14.6,82.28571428571429,97.42857142857144,63.285714285714285,29.5,22.52857142857143,29.642857142857142,33.81428571428571,26.785714285714285,25.585714285714285,3.0,172131,interpolated,104.0
