District,Year,Week,Number_of_Cases,Risk,Residual_final,n_iterations,converged
Mullaitivu,2020,38,0,1.3827082859315647,-1.3827082859315647,1,False
Mullaitivu,2020,39,0,0.907466807355389,-0.907466807355389,1,False
Mullaitivu,2020,40,0,0.6914574427016317,-0.6914574427016317,1,False
Mullaitivu,2020,41,0,0.8936931461671248,-0.8936931461671248,1,False
Mullaitivu,2020,42,0,0.4511063629523251,-0.4511063629523251,1,False
Mullaitivu,2020,43,0,0.4167303518752362,-0.4167303518752362,1,False
Mullaitivu,2020,44,0,0.15115803781319515,-0.15115803781319515,1,False
Mullaitivu,2020,45,0,0.5421976302361854,-0.5421976302361854,1,False
Mullaitivu,2020,46,0,0.23553033776292362,-0.23553033776292362,1,False
Mullaitivu,2020,47,0,0.4325523812585566,-0.4325523812585566,1,False
Mullaitivu,2020,48,1,1.1608716371465584,-0.1608716371465584,1,False
Mullaitivu,2020,49,0,0.9008613492826318,-0.9008613492826318,1,False
Mullaitivu,2020,50,0,1.208217430840222,-1.208217430840222,1,False
Mullaitivu,2020,51,1,0.8731250202595143,0.12687497974048567,1,False
Mullaitivu,2020,52,3,2.2696326261226742,0.7303673738773258,1,False
Mullaitivu,2021,1,259,296.73782465777947,-37.73782465777947,1,False
Mullaitivu,2021,2,2,1.1937353996831948,0.8062646003168052,1,False
Mullaitivu,2021,3,0,2.0491077953568118,-2.0491077953568118,1,False
Mullaitivu,2021,4,0,2.7744889167756854,-2.7744889167756854,1,False
Mullaitivu,2021,5,0,1.32262144786365,-1.32262144786365,1,False
Mullaitivu,2021,6,0,0.5069659945540426,-0.5069659945540426,1,False
Mullaitivu,2021,7,1,1.2059057365666055,-0.2059057365666055,1,False
Mullaitivu,2021,8,0,1.0898033449861708,-1.0898033449861708,1,False
Mullaitivu,2021,9,0,0.46566735249296975,-0.46566735249296975,1,False
Mullaitivu,2021,10,0,1.1793018575890164,-1.1793018575890164,1,False
Mullaitivu,2021,11,0,0.681107501826872,-0.681107501826872,1,False
Mullaitivu,2021,12,0,0.14592604745191284,-0.14592604745191284,1,False
Mullaitivu,2021,13,0,0.967725561195041,-0.967725561195041,1,False
Mullaitivu,2021,14,0,0.09194243799624147,-0.09194243799624147,1,False
Mullaitivu,2021,15,0,0.9797455207578684,-0.9797455207578684,1,False
Mullaitivu,2021,16,0,0.48251797549553077,-0.48251797549553077,1,False
Mullaitivu,2021,17,0,1.6352026743140167,-1.6352026743140167,1,False
Mullaitivu,2021,18,0,0.3170036624028826,-0.3170036624028826,1,False
Mullaitivu,2021,19,2,1.228694473640576,0.771305526359424,1,False
Mullaitivu,2021,20,0,0.3569394750349486,-0.3569394750349486,1,False
Mullaitivu,2021,21,0,0.7252848649623254,-0.7252848649623254,1,False
Mullaitivu,2021,22,0,0.7689570381145541,-0.7689570381145541,1,False
Mullaitivu,2021,23,0,0.37049084707457913,-0.37049084707457913,1,False
Mullaitivu,2021,24,0,0.09789511351697294,-0.09789511351697294,1,False
Mullaitivu,2021,25,0,0.13852578346399597,-0.13852578346399597,1,False
Mullaitivu,2021,26,0,1.5225826488119316,-1.5225826488119316,1,False
Mullaitivu,2021,27,0,0.850229902594909,-0.850229902594909,1,False
Mullaitivu,2021,28,0,0.4396593629058263,-0.4396593629058263,1,False
Mullaitivu,2021,29,0,0.54043029688683,-0.54043029688683,1,False
Mullaitivu,2021,30,0,0.4665050197621734,-0.4665050197621734,1,False
Mullaitivu,2021,31,0,0.5935274611217609,-0.5935274611217609,1,False
Mullaitivu,2021,32,0,0.39950713268675714,-0.39950713268675714,1,False
Mullaitivu,2021,33,0,0.8796195316836208,-0.8796195316836208,1,False
Mullaitivu,2021,34,0,0.057222739652913746,-0.057222739652913746,1,False
Mullaitivu,2021,35,0,0.23385024314866304,-0.23385024314866304,1,False
Mullaitivu,2021,36,0,0.025535351661335123,-0.025535351661335123,1,False
Mullaitivu,2021,37,0,0.3593875418670913,-0.3593875418670913,1,False
Mullaitivu,2021,38,0,0.3852336745966578,-0.3852336745966578,1,False
Mullaitivu,2021,39,0,0.07743805378736163,-0.07743805378736163,1,False
Mullaitivu,2021,40,0,0.2804461434351386,-0.2804461434351386,1,False
Mullaitivu,2021,41,0,0.3016151490985137,-0.3016151490985137,1,False
Mullaitivu,2021,43,0,0.7840144152037182,-0.7840144152037182,1,False
Mullaitivu,2021,44,1,0.9711227147934609,0.028877285206539094,1,False
Mullaitivu,2021,45,0,0.9287340346494134,-0.9287340346494134,1,False
Mullaitivu,2021,46,1,1.198967972482935,-0.19896797248293496,1,False
Mullaitivu,2021,47,0,1.8272670985255568,-1.8272670985255568,1,False
Mullaitivu,2021,48,0,2.600500433402889,-2.600500433402889,1,False
Mullaitivu,2021,49,0,3.0169085567427683,-3.0169085567427683,1,False
Mullaitivu,2021,50,0,3.20292827075542,-3.20292827075542,1,False
Mullaitivu,2021,51,0,1.779584875621694,-1.779584875621694,1,False
Mullaitivu,2021,52,0,0.976512912411863,-0.976512912411863,1,False
Mullaitivu,2021,53,0,0.9747503009111611,-0.9747503009111611,1,False
Mullaitivu,2022,1,2,0.5752103112117153,1.4247896887882847,1,False
Mullaitivu,2022,2,2,2.098913170959536,-0.09891317095953589,1,False
Mullaitivu,2022,3,6,5.737360068963731,0.2626399310362686,1,False
Mullaitivu,2022,4,2,2.984537126458462,-0.9845371264584619,1,False
Mullaitivu,2022,5,1,4.14343744701034,-3.1434374470103403,1,False
Mullaitivu,2022,6,1,2.0262402046404064,-1.0262402046404064,1,False
Mullaitivu,2022,7,2,2.9949989730976627,-0.9949989730976627,1,False
Mullaitivu,2022,8,1,2.537954276619761,-1.537954276619761,1,False
Mullaitivu,2022,9,2,1.9613677899854287,0.03863221001457129,1,False
Mullaitivu,2022,10,1,2.162323304909974,-1.162323304909974,1,False
